Incoming Unit,ceed_unit,formula
btu/(ftmin°f),W/(m K),x * 18.84
britishthermalunitsperfootminutedegreefahrenheit,W/(m K),x * 18.84
btu/(inmin°f),W/(m K),x * 226.1
britishthermalunitsperinchminutedegreefahrenheit,W/(m K),x * 226.1
btu/(ydmin°f),W/(m K),x * 6.28
britishthermalunitsperyardminutedegreefahrenheit,W/(m K),x * 6.28
btu/(mimin°f),W/(m K),x * 0.006485
britishthermalunitspermileminutedegreefahrenheit,W/(m K),x * 0.006485
cal/(kmmin°c),W/(m K),x * 6.978e-5
caloriesperkilometerminutedegreecelsius,W/(m K),x * 6.978e-5
btu/(ins°f),W/(m K),x * 3789
britishthermalunitsperinchseconddegreefahrenheit,W/(m K),x * 3789
btu/(yds°f),W/(m K),x * 105.3
britishthermalunitsperyardseconddegreefahrenheit,W/(m K),x * 105.3
wattspermeterkelvin,W/(m K),x
m³/10min,cm³/10min,x*1e-6
cubicmetersper10minutes,cm³/10min,x*1e-6
dm³/10min,cm³/10min,x*0.001
cubicdecimetersper10minutes,cm³/10min,x*0.001
mm³/10min,cm³/10min,x*1e6
cubicmillimetersper10minutes,cm³/10min,x*1e6
km³/10min,cm³/10min,x*1e-15
cubickilometersper10minutes,cm³/10min,x*1e-15
µm³/10min,cm³/10min,x*1e12
cubicmicrometersper10minutes,cm³/10min,x*1e12
nm³/10min,cm³/10min,x*1e21
cubicnanometersper10minutes,cm³/10min,x*1e21
pm³/10min,cm³/10min,x*1e30
cubicpicometersper10minutes,cm³/10min,x*1e30
fm³/10min,cm³/10min,x*1e39
cubicfemtometersper10minutes,cm³/10min,x*1e39
am³/10min,cm³/10min,x*1e48
cubicattometersper10minutes,cm³/10min,x*1e48
zm³/10min,cm³/10min,x*1e57
cubiczeptometersper10minutes,cm³/10min,x*1e57
ym³/10min,cm³/10min,x*1e66
cubicyoctometersper10minutes,cm³/10min,x*1e66
cm³/s,cm³/10min,x*600
cubiccentimeterspersecond,cm³/10min,x*600
cm³/min,cm³/10min,x*10
cubiccentimetersperminute,cm³/10min,x*10
cm³/h,cm³/10min,x*0.16667
cubiccentimetersperhour,cm³/10min,x*0.16667
cm³/day,cm³/10min,x*0.0069444
cubiccentimetersperday,cm³/10min,x*0.0069444
cm³/week,cm³/10min,x*0.00099206
cubiccentimetersperweek,cm³/10min,x*0.00099206
cm³/month,cm³/10min,x*0.00022831
cubiccentimeterspermonth,cm³/10min,x*0.00022831
cm³/year,cm³/10min,x*0.000019048
cubiccentimetersperyear,cm³/10min,x*0.000019048
l/10min,cm³/10min,x*1
litersper10minutes,cm³/10min,x*1
ml/10min,cm³/10min,x*1000
millilitersper10minutes,cm³/10min,x*1000
µl/10min,cm³/10min,x*1e6
microlitersper10minutes,cm³/10min,x*1e6
nl/10min,cm³/10min,x*1e9
nanolitersper10minutes,cm³/10min,x*1e9
pl/10min,cm³/10min,x*1e12
picolitersper10minutes,cm³/10min,x*1e12
fl/10min,cm³/10min,x*1e15
femtolitersper10minutes,cm³/10min,x*1e15
al/10min,cm³/10min,x*1e18
attolitersper10minutes,cm³/10min,x*1e18
zl/10min,cm³/10min,x*1e21
zeptolitersper10minutes,cm³/10min,x*1e21
yl/10min,cm³/10min,x*1e24
yoctolitersper10minutes,cm³/10min,x*1e24
gal/10min,cm³/10min,x*0.26417
gallonsper10minutes,cm³/10min,x*0.26417
floz/10min,cm³/10min,x*33.814.
fluidouncesper10minutes,cm³/10min,x*33.814.
cubiccentimetersper10minutes,cm³/10min,x
poise,Pa s,x*0.1
centipoise,Pa s,x*0.001
kilogrampermeterpersecond,Pa s,x
grampercentimeterpersecond,Pa s,x*0.1
poundperfootpersecond,Pa s,x*1.48816
poundperinchpersecond,Pa s,x*17.8581
slugperfootpersecond,Pa s,x*47.8803
poundalsecondpersquarefoot,Pa s,x*1.48816
pound-forcesecondpersquarefoot,Pa s,x*47.8803
pound-forcesecondpersquareinch,Pa s,x*6894.76
poundalsecondpersquareinch,Pa s,x*204.816
poundalhourpersquarefoot,Pa s,x*5.36055
pound-forcehourpersquarefoot,Pa s,x*172.369
pound-forcehourpersquareinch,Pa s,x*24809.5
poundalhourpersquareinch,Pa s,x*737.338
poundalminutepersquarefoot,Pa s,x*0.0893425
pound-forceminutepersquarefoot,Pa s,x*2.87281
pound-forceminutepersquareinch,Pa s,x*413.492
poundalminutepersquareinch,Pa s,x*12.2889
pascalsecond,Pa s,x
bel,dB,x*10
np,dB,x*8.686
neper,dB,x*8.686
dbm,dB,x
decibel-milliwatts,dB,x
dbu,dB,x
decibel-unloaded,dB,x
dbv,dB,x
decibel-volts,dB,x
dbw,dB,x*10
decibel-watts,dB,x*10
dbspl,dB,x
decibelsoundpressurelevel,dB,x
dbfs,dB,x
decibelfullscale,dB,x
dba,dB,x
decibela-weighted,dB,x
dbb,dB,x
decibelb-weighted,dB,x
dbc,dB,x
decibelc-weighted,dB,x
dbz,dB,x
decibelz-weighted,dB,x
dbsil,dB,x
decibelspeechinterferencelevel,dB,x
dbsl,dB,x
decibelsensationlevel,dB,x
dbhl,dB,x
decibelhearinglevel,dB,x
dbq,dB,x
decibelq-weighted,dB,x
dbp,dB,x
decibelpeak,dB,x
dbpp,dB,x
decibelpeak-to-peak,dB,x
dbrms,dB,x
decibelrootmeansquare,dB,x
dbvu,dB,x
decibelvolumeunit,dB,x
dbuv,dB,x
decibelmicrovolts,dB,x
dbmv,dB,x
decibelmillivolts,dB,x
dbµv/m,dB,x
decibelmicrovoltspermeter,dB,x
dbm/m,dB,x
decibelmilliwattspermeter,dB,x
dbf,dB,x
decibelfemtowatts,dB,x
decibelrelativetothecarrier,dB,x
dbr,dB,x
decibelrelative,dB,x
dbo,dB,x
decibeloffset,dB,x
dbov,dB,x
decibeloverload,dB,x
dbsm,dB,x
decibelsquaremeter,dB,x
decibel,dB,x
kg/mol,g/mol,x*1000
kilogramspermole,g/mol,x*1000
mg/mol,g/mol,x/1000
milligramspermole,g/mol,x/1000
ug/mol,g/mol,x/1e6
microgramspermole,g/mol,x/1e6
ng/mol,g/mol,x/1e9
nanogramspermole,g/mol,x/1e9
pg/mol,g/mol,x/1e12
picogramspermole,g/mol,x/1e12
fg/mol,g/mol,x/1e15
femtogramspermole,g/mol,x/1e15
ag/mol,g/mol,x/1e18
attogramspermole,g/mol,x/1e18
zg/mol,g/mol,x/1e21
zeptogramspermole,g/mol,x/1e21
yg/mol,g/mol,x/1e24
yoctogramspermole,g/mol,x/1e24
lb/mol,g/mol,x*453.59237
poundspermole,g/mol,x*453.59237
oz/mol,g/mol,x*28.34952
ouncespermole,g/mol,x*28.34952
st/mol,g/mol,x*6350.29318
stonespermole,g/mol,x*6350.29318
t/mol,g/mol,x*1e6
tonnespermole,g/mol,x*1e6
ct/mol,g/mol,x*200
caratspermole,g/mol,x*200
gr/mol,g/mol,x*64.79891
grainspermole,g/mol,x*64.79891
dr/mol,g/mol,x*1.7718452
dramspermole,g/mol,x*1.7718452
gn/mol,g/mol,x*7776
gunter'sgrainspermole,g/mol,x*7776
q/mol,g/mol,x*1e5
quintalspermole,g/mol,x*1e5
slug/mol,g/mol,x*14593.903
slugspermole,g/mol,x*14593.903
cwt/mol,g/mol,x*50802.34544
hundredweightspermole,g/mol,x*50802.34544
kip/mol,g/mol,x*453592.37
kilopoundspermole,g/mol,x*453592.37
ozt/mol,g/mol,x*31.1034768
troyouncespermole,g/mol,x*31.1034768
dwt/mol,g/mol,x*1.55517384
pennyweightspermole,g/mol,x*1.55517384
grt/mol,g/mol,x*1e6
grosstonnespermole,g/mol,x*1e6
lt/mol,g/mol,x*1016046.9088
longtonnespermole,g/mol,x*1016046.9088
st/mol,g/mol,x*907184.74
shorttonnespermole,g/mol,x*907184.74
lbm/mol,g/mol,x*453.59237
pounds-masspermole,g/mol,x*453.59237
ozm/mol,g/mol,x*28.34952
ounces-masspermole,g/mol,x*28.34952
grm/mol,g/mol,x*64.79891
grains-masspermole,g/mol,x*64.79891
drm/mol,g/mol,x*1.7718452
drams-masspermole,g/mol,x*1.7718452
gramspermole,g/mol,x
cm²/s,mm²/s,x*0.01
squarecentimeterspersecond,mm²/s,x*0.01
m²/s,mm²/s,x*0.000001
squaremeterspersecond,mm²/s,x*0.000001
km²/s,mm²/s,x*1e-12
squarekilometerspersecond,mm²/s,x*1e-12
in²/s,mm²/s,x*0.00155
squareinchespersecond,mm²/s,x*0.00155
ft²/s,mm²/s,x*0.000010764
squarefeetpersecond,mm²/s,x*0.000010764
yd²/s,mm²/s,x*0.000001196
squareyardspersecond,mm²/s,x*0.000001196
mi²/s,mm²/s,x*3.86102e-13
squaremilespersecond,mm²/s,x*3.86102e-13
nmi²/s,mm²/s,x*2.91553e-13
squarenauticalmilespersecond,mm²/s,x*2.91553e-13
acre/s,mm²/s,x*2.47105e-10
acrespersecond,mm²/s,x*2.47105e-10
hectare/s,mm²/s,x*1e-10
hectarespersecond,mm²/s,x*1e-10
µm²/s,mm²/s,x*1000000
squaremicrometerspersecond,mm²/s,x*1000000
nm²/s,mm²/s,x*1e+12
squarenanometerspersecond,mm²/s,x*1e+12
pm²/s,mm²/s,x*1e+18
squarepicometerspersecond,mm²/s,x*1e+18
fm²/s,mm²/s,x*1e+24
squarefemtometerspersecond,mm²/s,x*1e+24
am²/s,mm²/s,x*1e+30
squareattometerspersecond,mm²/s,x*1e+30
zm²/s,mm²/s,x*1e+36
squarezeptometerspersecond,mm²/s,x*1e+36
ym²/s,mm²/s,x*1e+42
squareyoctometerspersecond,mm²/s,x*1e+42
dam²/s,mm²/s,x*1e-6
squaredecameterspersecond,mm²/s,x*1e-6
hm²/s,mm²/s,x*1e-8
squarehectometerspersecond,mm²/s,x*1e-8
dm²/s,mm²/s,x*0.01
squaredecimeterspersecond,mm²/s,x*0.01
squaredekameterspersecond,mm²/s,x*1e-6
å²/s,mm²/s,x*1e+10
squareångströmspersecond,mm²/s,x*1e+10
pc²/s,mm²/s,x*1.05026e-35
squareparsecspersecond,mm²/s,x*1.05026e-35
ly²/s,mm²/s,x*1.11709e-34
squarelightyearspersecond,mm²/s,x*1.11709e-34
au²/s,mm²/s,x*2.23701e-23
squareastronomicalunitspersecond,mm²/s,x*2.23701e-23
mm²/s,mm²/s,x*1e-18
squaremegameterspersecond,mm²/s,x*1e-18
gm²/s,mm²/s,x*1e-21
squaregigameterspersecond,mm²/s,x*1e-21
tm²/s,mm²/s,x*1e-24
squareterameterspersecond,mm²/s,x*1e-24
pm²/s,mm²/s,x*1e-27
squarepetameterspersecond,mm²/s,x*1e-27
squaremillimeterspersecond,mm²/s,x
kg/m²,g/m²,x * 0.001
kilogramspersquaremeter,g/m²,x * 0.001
mg/m²,g/m²,x * 1000
milligramspersquaremeter,g/m²,x * 1000
µg/m²,g/m²,x * 1000000
microgramspersquaremeter,g/m²,x * 1000000
ng/m²,g/m²,x * 1000000000
nanogramspersquaremeter,g/m²,x * 1000000000
pg/m²,g/m²,x * 1000000000000
picogramspersquaremeter,g/m²,x * 1000000000000
fg/m²,g/m²,x * 1000000000000000
femtogramspersquaremeter,g/m²,x * 1000000000000000
ag/m²,g/m²,x * 1000000000000000000
attogramspersquaremeter,g/m²,x * 1000000000000000000
zg/m²,g/m²,x * 1000000000000000000000
zeptogramspersquaremeter,g/m²,x * 1000000000000000000000
yg/m²,g/m²,x * 1000000000000000000000000
yoctogramspersquaremeter,g/m²,x * 1000000000000000000000000
t/m²,g/m²,x * 0.000001
tonnespersquaremeter,g/m²,x * 0.000001
lb/m²,g/m²,x * 0.00220462
poundspersquaremeter,g/m²,x * 0.00220462
oz/m²,g/m²,x * 0.03527396
ouncespersquaremeter,g/m²,x * 0.03527396
st/m²,g/m²,x * 0.00015747
stonespersquaremeter,g/m²,x * 0.00015747
cwt/m²,g/m²,x * 0.00001968413
hundredweightspersquaremeter,g/m²,x * 0.00001968413
gr/m²,g/m²,x * 15.43235835
grainspersquaremeter,g/m²,x * 15.43235835
dr/m²,g/m²,x * 0.56438339
dramspersquaremeter,g/m²,x * 0.56438339
c/m²,g/m²,x * 5
caratspersquaremeter,g/m²,x * 5
q/m²,g/m²,x * 0.00001
quintalspersquaremeter,g/m²,x * 0.00001
slug/m²,g/m²,x * 0.00006852177
slugspersquaremeter,g/m²,x * 0.00006852177
ct/m²,g/m²,x * 5
metriccaratspersquaremeter,g/m²,x * 5
lbt/m²,g/m²,x * 0.00267923
troypoundspersquaremeter,g/m²,x * 0.00267923
ozt/m²,g/m²,x * 0.03215075
troyouncespersquaremeter,g/m²,x * 0.03215075
dwt/m²,g/m²,x * 0.64301493
pennyweightspersquaremeter,g/m²,x * 0.64301493
grt/m²,g/m²,x * 15.4323584
troygrainspersquaremeter,g/m²,x * 15.4323584
scwt/m²,g/m²,x * 0.00002204623
shorthundredweightspersquaremeter,g/m²,x * 0.00002204623
lcwt/m²,g/m²,x * 0.00001968413
longhundredweightspersquaremeter,g/m²,x * 0.00001968413
stt/m²,g/m²,x * 0.0001883465
troystonespersquaremeter,g/m²,x * 0.0001883465
gramspersquaremeter,g/m²,x
min,s,x*60
minutes,s,x*60
h,s,x*3600
hours,s,x*3600
d,s,x*86400
days,s,x*86400
ms,s,x/1000
milliseconds,s,x/1000
us,s,x/1000000
microseconds,s,x/1000000
ns,s,x/1000000000
nanoseconds,s,x/1000000000
ps,s,x/1000000000000
picoseconds,s,x/1000000000000
fs,s,x/1000000000000000
femtoseconds,s,x/1000000000000000
as,s,x/1000000000000000000
attoseconds,s,x/1000000000000000000
zs,s,x/1000000000000000000000
zeptoseconds,s,x/1000000000000000000000
ys,s,x/1000000000000000000000000
yoctoseconds,s,x/1000000000000000000000000
ds,s,x/10
deciseconds,s,x/10
cs,s,x/100
centiseconds,s,x/100
μs,s,x/1000000
ks,s,x*1000
kiloseconds,s,x*1000
ms,s,x*1000000
megaseconds,s,x*1000000
gs,s,x*1000000000
gigaseconds,s,x*1000000000
ts,s,x*1000000000000
teraseconds,s,x*1000000000000
ps,s,x*1000000000000000
petaseconds,s,x*1000000000000000
es,s,x*1000000000000000000
exaseconds,s,x*1000000000000000000
zs,s,x*1000000000000000000000
zettaseconds,s,x*1000000000000000000000
ys,s,x*1000000000000000000000000
yottaseconds,s,x*1000000000000000000000000
decade,s,x*315360000
century,s,x*3153600000
seconds,s,x
n/m,J/m,x*1
newtonspermeter,J/m,x*1
w/m,J/m,x*1
wattspermeter,J/m,x*1
pa/m,J/m,x*1
pascalspermeter,J/m,x*1
kg.m/s^2/m,J/m,x*1
kilogrammeterpersecondsquaredpermeter,J/m,x*1
n.s/m,J/m,x*1
newtonsecondpermeter,J/m,x*1
kg.m^2/s^2/m,J/m,x*1
kilogrammetersquaredpersecondsquaredpermeter,J/m,x*1
w.s/m,J/m,x*1
wattsecondpermeter,J/m,x*1
j.s/m,J/m,x*1
joulesecondpermeter,J/m,x*1
kg.m^2/s^3/m,J/m,x*1
kilogrammetersquaredpersecondcubedpermeter,J/m,x*1
n.m/m,J/m,x*1
newtonmeterpermeter,J/m,x*1
kg.m^2/s^2/m^2,J/m,x*1
kilogrammetersquaredpersecondsquaredpermetersquared,J/m,x*1
w.s/m^2,J/m,x*1
wattsecondpermetersquared,J/m,x*1
j.s/m^2,J/m,x*1
joulesecondpermetersquared,J/m,x*1
kg.m^2/s^3/m^2,J/m,x*1
kilogrammetersquaredpersecondcubedpermetersquared,J/m,x*1
n.m/m^2,J/m,x*1
newtonmeterpermetersquared,J/m,x*1
kg.m^2/s^2/m^3,J/m,x*1
kilogrammetersquaredpersecondsquaredpermetercubed,J/m,x*1
w.s/m^3,J/m,x*1
wattsecondpermetercubed,J/m,x*1
j.s/m^3,J/m,x*1
joulesecondpermetercubed,J/m,x*1
kg.m^2/s^3/m^3,J/m,x*1
kilogrammetersquaredpersecondcubedpermetercubed,J/m,x*1
n.m/m^3,J/m,x*1
newtonmeterpermetercubed,J/m,x*1
kg.m^2/s^2/m^4,J/m,x*1
kilogrammetersquaredpersecondsquaredpermetertothepowerof4,J/m,x*1
w.s/m^4,J/m,x*1
wattsecondpermetertothepowerof4,J/m,x*1
j.s/m^4,J/m,x*1
joulesecondpermetertothepowerof4,J/m,x*1
kg.m^2/s^3/m^4,J/m,x*1
kilogrammetersquaredpersecondcubedpermetertothepowerof4,J/m,x*1
n.m/m^4,J/m,x*1
newtonmeterpermetertothepowerof4,J/m,x*1
kg.m^2/s^2/m^5,J/m,x*1
kilogrammetersquaredpersecondsquaredpermetertothepowerof5,J/m,x*1
w.s/m^5,J/m,x*1
wattsecondpermetertothepowerof5,J/m,x*1
j.s/m^5,J/m,x*1
joulesecondpermetertothepowerof5,J/m,x*1
kg.m^2/s^3/m^5,J/m,x*1
kilogrammetersquaredpersecondcubedpermetertothepowerof5,J/m,x*1
n.m/m^5,J/m,x*1
newtonmeterpermetertothepowerof5,J/m,x*1
joulespermeter,J/m,x
cm/min,mm/min,x*10
centimetersperminute,mm/min,x*10
m/min,mm/min,x*1000
metersperminute,mm/min,x*1000
km/min,mm/min,x*1000000
kilometersperminute,mm/min,x*1000000
in/min,mm/min,x*25.4
inchesperminute,mm/min,x*25.4
ft/min,mm/min,x*304.8
feetperminute,mm/min,x*304.8
yd/min,mm/min,x*914.4
yardsperminute,mm/min,x*914.4
mi/min,mm/min,x*1609344
milesperminute,mm/min,x*1609344
mm/h,mm/min,x/60
millimetersperhour,mm/min,x/60
cm/h,mm/min,x/6
centimetersperhour,mm/min,x/6
m/h,mm/min,x/0.06
metersperhour,mm/min,x/0.06
km/h,mm/min,x/0.00006
kilometersperhour,mm/min,x/0.00006
in/h,mm/min,x/2.36
inchesperhour,mm/min,x/2.36
ft/h,mm/min,x/0.198
feetperhour,mm/min,x/0.198
yd/h,mm/min,x/0.055
yardsperhour,mm/min,x/0.055
mi/h,mm/min,x/0.000037
milesperhour,mm/min,x/0.000037
mm/s,mm/min,x*60
millimeterspersecond,mm/min,x*60
cm/s,mm/min,x*600
centimeterspersecond,mm/min,x*600
m/s,mm/min,x*60000
meterspersecond,mm/min,x*60000
km/s,mm/min,x*60000000
kilometerspersecond,mm/min,x*60000000
in/s,mm/min,x*1524
inchespersecond,mm/min,x*1524
ft/s,mm/min,x*18288
feetpersecond,mm/min,x*18288
yd/s,mm/min,x*54864
yardspersecond,mm/min,x*54864
mi/s,mm/min,x*96560640
milespersecond,mm/min,x*96560640
mm/day,mm/min,x/0.000694
millimetersperday,mm/min,x/0.000694
cm/day,mm/min,x/0.00694
centimetersperday,mm/min,x/0.00694
m/day,mm/min,x/0.000694
metersperday,mm/min,x/0.000694
km/day,mm/min,x/0.000000694
kilometersperday,mm/min,x/0.000000694
in/day,mm/min,x/0.0176
inchesperday,mm/min,x/0.0176
ft/day,mm/min,x/0.211
feetperday,mm/min,x/0.211
yd/day,mm/min,x/0.632
yardsperday,mm/min,x/0.632
mi/day,mm/min,x/0.00044
milesperday,mm/min,x/0.00044
millimetersperminute,mm/min,x
cal/(g°c),J/(kg K),x * 4.184
caloriespergramdegreecelsius,J/(kg K),x * 4.184
btu/(lb°f),J/(kg K),x * 1.8
britishthermalunitsperpounddegreefahrenheit,J/(kg K),x * 1.8
kcal/(kg°c),J/(kg K),x * 4.184
kilocaloriesperkilogramdegreecelsius,J/(kg K),x * 4.184
wh/(kgk),J/(kg K),x * 0.00027778
watthoursperkilogramkelvin,J/(kg K),x * 0.00027778
btu/(lbk),J/(kg K),x * 1.8
britishthermalunitsperpoundkelvin,J/(kg K),x * 1.8
cal/(gk),J/(kg K),x * 4.184
caloriespergramkelvin,J/(kg K),x * 4.184
kcal/(kgk),J/(kg K),x * 4.184
kilocaloriesperkilogramkelvin,J/(kg K),x * 4.184
wh/(kg°c),J/(kg K),x * 0.00027778
watthoursperkilogramdegreecelsius,J/(kg K),x * 0.00027778
btu/(lb°c),J/(kg K),x * 1.8
britishthermalunitsperpounddegreecelsius,J/(kg K),x * 1.8
cal/(kgk),J/(kg K),x * 0.004184
caloriesperkilogramkelvin,J/(kg K),x * 0.004184
kcal/(g°c),J/(kg K),x * 4184
kilocaloriespergramdegreecelsius,J/(kg K),x * 4184
wh/(gk),J/(kg K),x * 0.27778
watthourspergramkelvin,J/(kg K),x * 0.27778
btu/(kgk),J/(kg K),x * 0.4184
britishthermalunitsperkilogramkelvin,J/(kg K),x * 0.4184
cal/(kg°c),J/(kg K),x * 0.004184
caloriesperkilogramdegreecelsius,J/(kg K),x * 0.004184
kcal/(gk),J/(kg K),x * 4184
kilocalitiespergramkelvin,J/(kg K),x * 4184
wh/(g°c),J/(kg K),x * 0.27778
watthourspergramdegreecelsius,J/(kg K),x * 0.27778
btu/(kg°c),J/(kg K),x * 0.4184
britishthermalunitsperkilogramdegreecelsius,J/(kg K),x * 0.4184
cal/(lbk),J/(kg K),x * 1.896
caloriesperpoundkelvin,J/(kg K),x * 1.896
kcal/(lb°c),J/(kg K),x * 1896
kilocaloriesperpounddegreecelsius,J/(kg K),x * 1896
wh/(lbk),J/(kg K),x * 0.12598
watthoursperpoundkelvin,J/(kg K),x * 0.12598
btu/(gk),J/(kg K),x * 238.8459
britishthermalunitspergramkelvin,J/(kg K),x * 238.8459
cal/(lb°c),J/(kg K),x * 1.896
caloriesperpounddegreecelsius,J/(kg K),x * 1.896
kcal/(lbk),J/(kg K),x * 1896
kilocaloriesperpoundkelvin,J/(kg K),x * 1896
wh/(lb°c),J/(kg K),x * 0.12598
watthoursperpounddegreecelsius,J/(kg K),x * 0.12598
btu/(g°c),J/(kg K),x * 238.8459
britishthermalunitspergramdegreecelsius,J/(kg K),x * 238.8459
joulesperkilogramkelvin,J/(kg K),x
mgc/g,µgC/g,x * 0.001
milligramsofcarbonpergram,µgC/g,x * 0.001
gc/g,µgC/g,x * 0.000001
gramsofcarbonpergram,µgC/g,x * 0.000001
kgc/g,µgC/g,x * 0.000000001
kilogramsofcarbonpergram,µgC/g,x * 0.000000001
lbc/g,µgC/g,x * 0.00000000220462
poundsofcarbonpergram,µgC/g,x * 0.00000000220462
ozc/g,µgC/g,x * 0.000000035274
ouncesofcarbonpergram,µgC/g,x * 0.000000035274
tc/g,µgC/g,x * 0.00000000000110231
tonsofcarbonpergram,µgC/g,x * 0.00000000000110231
ctc/g,µgC/g,x * 0.000005
caratsofcarbonpergram,µgC/g,x * 0.000005
grc/g,µgC/g,x * 0.0000154324
grainsofcarbonpergram,µgC/g,x * 0.0000154324
stc/g,µgC/g,x * 0.000000000157473
stonesofcarbonpergram,µgC/g,x * 0.000000000157473
drc/g,µgC/g,x * 0.000000564383
dramsofcarbonpergram,µgC/g,x * 0.000000564383
qc/g,µgC/g,x * 0.00000000001
quintalsofcarbonpergram,µgC/g,x * 0.00000000001
slugc/g,µgC/g,x * 0.0000000000685218
slugsofcarbonpergram,µgC/g,x * 0.0000000000685218
npc/g,µgC/g,x * 0.00000000000980665
newtonsofcarbonpergram(onearth),µgC/g,x * 0.00000000000980665
dync/g,µgC/g,x * 0.00000000101972
dynesofcarbonpergram,µgC/g,x * 0.00000000101972
microgramsofcarbonpergram,µgC/g,x
ppm,µg/g,x*1
partspermillion,µg/g,x*1
mg/kg,µg/g,x*1
milligramsperkilogram,µg/g,x*1
ng/mg,µg/g,x*1000
nanogramspermilligram,µg/g,x*1000
pg/µg,µg/g,x*1000
picogramspermicrogram,µg/g,x*1000
kg/t,µg/g,x*1
kilogramspertonne,µg/g,x*1
g/kg,µg/g,x*1
gramsperkilogram,µg/g,x*1
µg/mg,µg/g,x*1000
microgramspermilligram,µg/g,x*1000
ng/g,µg/g,x*1000000
nanogramspergram,µg/g,x*1000000
pg/g,µg/g,x*1000000000
picogramspergram,µg/g,x*1000000000
mg/g,µg/g,x/1000
milligramspergram,µg/g,x/1000
g/g,µg/g,x/1000000
gramspergram,µg/g,x/1000000
kg/g,µg/g,x/1000000000
kilogramspergram,µg/g,x/1000000000
t/g,µg/g,x/1000000000000
tonnespergram,µg/g,x/1000000000000
µg/kg,µg/g,x*1000000
microgramsperkilogram,µg/g,x*1000000
ng/kg,µg/g,x*1000000000
nanogramsperkilogram,µg/g,x*1000000000
pg/kg,µg/g,x*1000000000000
picogramsperkilogram,µg/g,x*1000000000000
mg/t,µg/g,x*1000000
milligramspertonne,µg/g,x*1000000
g/t,µg/g,x*1000000000
gramspertonne,µg/g,x*1000000000
kg/t,µg/g,x*1000000000000
kilogramspertonne,µg/g,x*1000000000000
t/t,µg/g,x/1000000000000
tonnespertonne,µg/g,x/1000000000000
µg/t,µg/g,x*1000000000000
microgramspertonne,µg/g,x*1000000000000
ng/t,µg/g,x*1000000000000000
nanogramspertonne,µg/g,x*1000000000000000
pg/t,µg/g,x*1000000000000000000
picogramspertonne,µg/g,x*1000000000000000000
mg/mg,µg/g,x/1000
milligramspermilligram,µg/g,x/1000
g/mg,µg/g,x/1000
gramspermilligram,µg/g,x/1000
kg/mg,µg/g,x/1000000
kilogramspermilligram,µg/g,x/1000000
t/mg,µg/g,x/1000000000
tonnespermilligram,µg/g,x/1000000000
µg/µg,µg/g,x/1
microgramspermicrogram,µg/g,x/1
ng/µg,µg/g,x*1000
nanogramspermicrogram,µg/g,x*1000
pg/µg,µg/g,x*1000000
picogramspermicrogram,µg/g,x*1000000
microgramspergram,µg/g,x
cal,J,x*0.239006
calorie,J,x*0.239006
btu,J,x*0.000947817
britishthermalunit,J,x*0.000947817
ev,J,x*6.242e+18
electronvolt,J,x*6.242e+18
ft.lbf,J,x*0.737562
foot-poundforce,J,x*0.737562
erg,J,x*1e+7
wh,J,x*0.000277778
watthour,J,x*0.000277778
kcal,J,x*0.000239006
kilocalorie,J,x*0.000239006
hph,J,x*0.000000372506
horsepowerhour,J,x*0.000000372506
therm,J,x*0.00000000947817
quad,J,x*9.47817e-19
tontnt,J,x*0.00000000239006
tonoftnt,J,x*0.00000000239006
mmbtu,J,x*0.000000000947817
millionbritishthermalunits,J,x*0.000000000947817
gj,J,x*0.000000001
gigajoule,J,x*0.000000001
mj,J,x*0.001
megajoule,J,x*0.001
kj,J,x*0.001
kilojoule,J,x*0.001
mwh,J,x*0.277778
milliwatthour,J,x*0.277778
kwh,J,x*0.000277778
kilowatthour,J,x*0.000277778
mwh,J,x*0.000000277778
megawatthour,J,x*0.000000277778
gwh,J,x*0.000000000277778
gigawatthour,J,x*0.000000000277778
twh,J,x*0.000000000000277778
terawatthour,J,x*0.000000000000277778
pwh,J,x*0.000000000000000277778
petawatthour,J,x*0.000000000000000277778
ewh,J,x*0.000000000000000000277778
exawatthour,J,x*0.000000000000000000277778
zwh,J,x*0.000000000000000000000277778
zettawatthour,J,x*0.000000000000000000000277778
ywh,J,x*0.000000000000000000000000277778
yottawatthour,J,x*0.000000000000000000000000277778
ry,J,x*4.58742e+17
rydberg,J,x*4.58742e+17
ha,J,x*2.29371e+17
hartree,J,x*2.29371e+17
a.u.,J,x*2.29371e+17
atomicunitofenergy,J,x*2.29371e+17
th,J,x*0.239005736
thermochemicalcalorie,J,x*0.239005736
it,J,x*0.238845896.
internationaltablecalorie,J,x*0.238845896.
joule,J,x
°c,°C,x
mpa,MPa,x
kg/m³,kg/m³,x
kj/m²,kJ/m²,x
g/cm³,g/cm³,x
ml/g,ml/g,x
cm³/g,cm³/g,x
mm,mm,x
kn/m,kN/m,x
g/10min,g/10min,x
kv/mm,kV/mm,x
w/(mk),W/(m K),x
cm³/10min,cm³/10min,x
pas,Pa s,x
db,dB,x
g/mol,g/mol,x
mm²/s,mm²/s,x
g/m²,g/m²,x
s,s,x
j/m,J/m,x
mm/min,mm/min,x
j/(kgk),J/(kg K),x
µgc/g,µgC/g,x
µg/g,µg/g,x
j,J,x
um,mm,x/1000
ω*cm,Ohm*m,x/100
ohmcentimeter,Ohm*m,x/100
ω*mm,Ohm*m,x/1000
