idx,query,property_name,property_type,value,min,max,unit,shape
1781,maximum relative thermal index - mechanical impact (rti imp) 220fahrenheit specification for frianyl a3 gf25 v0xi nc 1101/l,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
1792,"pa 6t,xt mold shrinkage (flow) between 0.44-1.11percentage pa 6-10","molding shrinkage iso 294-4, 2577 parallel (%)",property,0.44,0.44,1.11,percentage,banded (value +/- band)
1795,pa 66/6t rohs & eu of +863-compliant,rohs 2011/65/eu material,ul_property,+863 compliant,,,,exact value only
1798,"hello, i would be looking for a pom with mold shrinkage of 1.4% and tensile modulus of 3700 mpa. application would be paint can nozzle.",molding shrinkage,property,1.4,1.2599999999999998,1.54,%,banded (value +/- band)
1798,"hello, i would be looking for a pom with mold shrinkage of 1.4% and tensile modulus of 3700 mpa. application would be paint can nozzle.",tensile modulus,property,3700.0,3330.0,4070.0,mpa,banded (value +/- band)
1807,rti ms at 3mm 128°c,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,128.0,115.2,140.8,°c,banded (value +/- band)
1807,rti ms at 3mm 128°c,minimum thickness (mm),ul_property,3.0,,,mm,exact value only
1816,mold shrinkage 1.4 and tm 3700 grade,molding shrinkage,property,1.4,1.2599999999999998,1.54,,banded (value +/- band)
1816,mold shrinkage 1.4 and tm 3700 grade,melting temperature iso 11357-1/-3 10°c/min (°c),property,3700.0,3330.0,4070.0,,banded (value +/- band)
1817,"high cti, v0",comparative tracking index (cti),ul_property,high,,,,exact value only
1817,"high cti, v0",flame rating,ul_sub_property,v-0,,,,exact value only
1817,"high cti, v0",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
1820,pps with tensile strength of 10000,tensile stress,property,10000.0,9000.0,11000.0,,banded (value +/- band)
1840,polyamide 6/12 highvolarctrackingrate plc0,high voltage arc tracking rate (hvtr),ul_property,plc 0,,,,exact value only
1842,omnilon grade with a rti ms <=149°c,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,149.0,,149.0,°c,open upper (<= max)
1842,omnilon grade with a rti ms <=149°c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
1871,sebs medium - break elongation 50 mm/min polyether,tensile strain at break iso 527-1/-2 50mm/min (%),property,medium,,,,exact value only
1877,maximid durometer hardness =medium; low strain break 5 mm/min,shore,property,medium,,,,exact value only
1877,maximid durometer hardness =medium; low strain break 5 mm/min,tensile strain at break iso 527-1/-2 5mm/min (%),property,low,,,,exact value only
1879,hwi-plc 3 high current arc ignition @ 0.7 of plc2,hot wire ignition (hwi),ul_sub_property,plc 3,,,,exact value only
1879,hwi-plc 3 high current arc ignition @ 0.7 of plc2,high-current arc ignition (hai),ul_sub_property,plc 2,,,,exact value only
1879,hwi-plc 3 high current arc ignition @ 0.7 of plc2,minimum thickness (mm),ul_property,0.7,,,mm,exact value only
1882,average mi and sr or specific heat capacity of melt iso 22007-4 (j/(kg k)) =729.35 between 504 and 989,specific heat capacity of melt iso 22007-4 (j/(kg k)),property,729.35,504.0,989.0,,banded (value +/- band)
1882,average mi and sr or specific heat capacity of melt iso 22007-4 (j/(kg k)) =729.35 between 504 and 989,melt mass-flow rate iso 1133 (g/10min),property,average,,,,exact value only
1882,average mi and sr or specific heat capacity of melt iso 22007-4 (j/(kg k)) =729.35 between 504 and 989,surface resistivity iec 62631-3-2 (ohm),property,average,,,,exact value only
1892,nb impact notched,notched impact strength,property,nb,,,,exact value only
1893,materials that have high voltage arc resist ignition plc-1,arc resistance,ul_property,plc 1,,,,exact value only
1900,"pa6t,66 for computer keyboard tab with hdt in the range of 153 - 322",temperature of deflection under load,property,153.0,153.0,322.0,,banded (value +/- band)
1901,relative thermal index - mechanical strength (rti str) (°c) between 76 to 172,relative thermal index - mechanical strength (rti str) (°c),ul_sub_property,76.0,76.0,172.0,,banded (value +/- band)
1901,relative thermal index - mechanical strength (rti str) (°c) between 76 to 172,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
1917,"hot wire ignition (hwi) plc-5, 0.7mm thickness combined load min 53%",hot wire ignition (hwi),ul_sub_property,plc 5,,,,exact value only
1917,"hot wire ignition (hwi) plc-5, 0.7mm thickness combined load min 53%",minimum thickness (mm),ul_property,0.7,,,mm,exact value only
1931,charpy impact unnotched lesser than 618 pa6/10 to buy in sudan,charpy impact strength,property,618.0,,618.0,,open upper (<= max)
1934,unnotched charpy impact =moderate vicat softening temperature iso 306 50°c/h 50n (°c) of 120 within 5% margin silicone glass fiber + long carbon fiber,vicat softening temperature iso 306 50°c/h 50n (°c),property,120.0,114.0,126.0,,banded (value +/- band)
1934,unnotched charpy impact =moderate vicat softening temperature iso 306 50°c/h 50n (°c) of 120 within 5% margin silicone glass fiber + long carbon fiber,charpy impact strength,property,moderate,,,,exact value only
1935,glow wire resistant grade,glow wire,ul_sub_property,,,,,categorical / no number
1935,glow wire resistant grade,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
1939,soft - 67 avoid static build up,shore a hardness iso 48-4 / iso 868 15s,property,67.0,60.3,73.7,,banded (value +/- band)
1949,hot wire ignition (hwi) (plc3),hot wire ignition (hwi),ul_sub_property,plc 3,,,,exact value only
1949,hot wire ignition (hwi) (plc3),minimum thickness (mm),ul_property,0.4,,,mm,exact value only
1956,"unfilled, gmw16924p-pom-c2, mvr of 8.4, specific gravity of 1.4",melt volume-flow rate iso 1133 (cm³/10min),property,8.4,7.5600000000000005,9.24,,banded (value +/- band)
1956,"unfilled, gmw16924p-pom-c2, mvr of 8.4, specific gravity of 1.4",density iso 1183 (kg/m³),property,1.4,1.2599999999999998,1.54,,banded (value +/- band)
1957,stress at 100% elongation of 191,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,191.0,171.9,210.10000000000002,,banded (value +/- band)
1960,impact 200,impact strength,property,200.0,180.0,220.0,,banded (value +/- band)
1972,ul listed at 1.5mm of v-2,flame rating,ul_sub_property,v-2,,,,exact value only
1972,ul listed at 1.5mm of v-2,minimum thickness (mm),ul_property,1.5,,,mm,exact value only
1973,tm 3000mpa,tensile modulus,property,3000.0,2700.0,3300.0,mpa,banded (value +/- band)
1979,charpy no-break,charpy,property,nb,,,,exact value only
1997,yellow card htn42g30ef,minimum thickness (mm),ul_property,,,,,categorical / no number
1997,yellow card htn42g30ef,flame rating,ul_sub_property,,,,,categorical / no number
1999,materials that have tensile notched impact strength = 238 with +/-25% range,tensile notched impact strength iso 8256/1 23°c (kj/m²),property,238.0,178.5,297.5,,banded (value +/- band)
2007,v-0,flame rating,ul_sub_property,v-0,,,,exact value only
2007,v-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2042,grade for water meter gear with high voltage arc resistance ignition plc-0,arc resistance,ul_property,plc 0,,,,exact value only
2047,material with gwit,glow wire ignition temperature,ul_sub_property,,,,,categorical / no number
2047,material with gwit,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2060,linear thermal expansion of max 82 pehd to buy in madrid,coefficient of linear thermal expansion (clte),property,82.0,,82.0,,open upper (<= max)
2070,grades that have modulus of elasticity greater than 9054 mpa,tensile modulus,property,9054.0,9054.0,,mpa,open lower (>= min)
2071,"ve grade with tensile strain at yield iso 527-1/-2 50mm/min (%) = 20.37 around 25% variation, and ipt1.07",tensile strain at yield iso 527-1/-2 50mm/min (%),property,20.37,15.28,25.46,,banded (value +/- band)
2071,"ve grade with tensile strain at yield iso 527-1/-2 50mm/min (%) = 20.37 around 25% variation, and ipt1.07",inclined-plane tracking,ul_property,1.07,0.96,1.18,,banded (value +/- band)
2074,compressive stress at 1% strain (low) light weighting,compressive stress at 1% strain iso 604 (mpa),property,low,,,,exact value only
2084,dk-31.01,relative permittivity,property,31.01,27.91,34.11,,banded (value +/- band)
2090,"need best recommendations for a polyphenylene sulfide with flex mod of 14700 or greater, deflection temp of 270 + , and meets auto spec dbl 5420",flexural modulus,property,14700.0,14700.0,,,open lower (>= min)
2090,"need best recommendations for a polyphenylene sulfide with flex mod of 14700 or greater, deflection temp of 270 + , and meets auto spec dbl 5420",temperature of deflection under load,property,270.0,270.0,,,open lower (>= min)
2092,train rail absorb,water absorption sim. to iso 62 2mm (%),property,,,,,categorical / no number
2106,ford water resistant temperature 300,continuous service temperature iec 60216-1 (°c),property,300.0,270.0,330.0,,banded (value +/- band)
2108,"ipt 1,5 kv",inclined-plane tracking,ul_property,15.0,13.5,16.5,kv,banded (value +/- band)
2109,density < 1.3; pom,density iso 1183 (kg/m³),property,1.3,,1.3,,open upper (<= max)
2113,please provide the list of v0 glass fiber and mineral materials having a cti plc 3 which can be used in a microwave oven,flame rating,ul_sub_property,v-0,,,,exact value only
2113,please provide the list of v0 glass fiber and mineral materials having a cti plc 3 which can be used in a microwave oven,comparative tracking index (cti),ul_property,plc 3,,,,exact value only
2113,please provide the list of v0 glass fiber and mineral materials having a cti plc 3 which can be used in a microwave oven,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2127,stiff grade,tensile modulus,property,,,,,categorical / no number
2128,grade for bin mat for console with higharcignition plc-0,high-current arc ignition (hai),ul_sub_property,plc 0,,,,exact value only
2128,grade for bin mat for console with higharcignition plc-0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2131,mvr (209.21cm³/10min) thermoplastic vulcanizates,melt volume-flow rate iso 1133 (cm³/10min),property,209.21,188.29,230.13,cm³/10min,banded (value +/- band)
2132,smah with average tape tensile strength and df 1mhz,tensile strength astm d 3039 m tape 0° (mpa),property,average,,,,exact value only
2132,smah with average tape tensile strength and df 1mhz,dissipation factor iec 62631-2-1 1mhz (e-4),property,average,,,,exact value only
2134,highvolarctrackingrate of plc 2,high voltage arc tracking rate (hvtr),ul_property,plc 2,,,,exact value only
2135,need a grade with a gwfi @ 1.5 of 874 °c,glow wire flammability index,ul_sub_property,874.0,786.6,961.4,°c,banded (value +/- band)
2135,need a grade with a gwfi @ 1.5 of 874 °c,minimum thickness (mm),ul_property,1.5,,,mm,exact value only
2136,"hostaform, den <=1.3",density iso 1183 (kg/m³),property,1.3,,1.3,,open upper (<= max)
2137,high amp arc ignition plc-1 0.7mm thick. qmtt2,high-current arc ignition (hai),ul_sub_property,plc 1,,,,exact value only
2137,high amp arc ignition plc-1 0.7mm thick. qmtt2,minimum thickness (mm),ul_property,0.7,,,mm,exact value only
2150,high arc ignition plc-4 at 0.3mm specification for lftr pa66-sf50-02 af3005,high-current arc ignition (hai),ul_sub_property,plc 4,,,,exact value only
2150,high arc ignition plc-4 at 0.3mm specification for lftr pa66-sf50-02 af3005,minimum thickness (mm),ul_property,0.3,,,mm,exact value only
2157,"suspension bellow shore d 41 ts 64kn/m, tg -52degc",shore d hardness iso 48-4 / iso 868 15s,property,41.0,36.9,45.1,,banded (value +/- band)
2157,"suspension bellow shore d 41 ts 64kn/m, tg -52degc",ts,property,64.0,57.6,70.4,kn/m,banded (value +/- band)
2157,"suspension bellow shore d 41 ts 64kn/m, tg -52degc",glass transition temperature iso 11357-1/-3 10°c/min (°c),property,-52.0,-46.8,-57.2,degc,banded (value +/- band)
2167,"get pa 6t,xt material with the condition, stress at 50% deformation from 37 - 56mpa",tensile stress at 50% strain iso 527-1/-2 (mpa),property,37.0,37.0,56.0,mpa,banded (value +/- band)
2177,tpo with good compressive strength at 1% deformation and specific heat capacity of melt iso 22007-4 (j/(kg k)) standard clte and sh d,compressive stress at 1% strain iso 604 (mpa),property,good,,,,exact value only
2177,tpo with good compressive strength at 1% deformation and specific heat capacity of melt iso 22007-4 (j/(kg k)) standard clte and sh d,specific heat capacity of melt iso 22007-4 (j/(kg k)),property,good,,,,exact value only
2177,tpo with good compressive strength at 1% deformation and specific heat capacity of melt iso 22007-4 (j/(kg k)) standard clte and sh d,coefficient of linear thermal expansion (clte),property,standard,,,,exact value only
2177,tpo with good compressive strength at 1% deformation and specific heat capacity of melt iso 22007-4 (j/(kg k)) standard clte and sh d,shore d hardness iso 48-4 / iso 868 15s,property,standard,,,,exact value only
2180,"compression set iso 815 23°c, 24h (%) of kepamid 2330gvs","compression set iso 815 23°c, 24h (%)",property,,,,,categorical / no number
2189,strain at break of 35,strain at break,property,35.0,31.5,38.5,,banded (value +/- band)
2191,high voltage arc resistant ignition: plc 1 and detergent resis = f 3 grade,arc resistance,ul_property,plc 1,,,,exact value only
2191,high voltage arc resistant ignition: plc 1 and detergent resis = f 3 grade,detergent resistance,ul_property,f3,,,,exact value only
2196,grade that is capable of withstanding 175 degrees c continuously,continuous service temperature iec 60216-1 (°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
2205,need a grade with a arcresist of plc 2,arc resistance,ul_property,plc 2,,,,exact value only
2218,tensile modulus of 8000,tensile modulus,property,8000.0,7200.0,8800.0,,banded (value +/- band)
2227,inc-plane tracking between 1.31 and 3.14 arc resistance = plc-1,inclined-plane tracking,ul_property,1.31,1.31,3.14,,banded (value +/- band)
2227,inc-plane tracking between 1.31 and 3.14 arc resistance = plc-1,arc resistance,ul_property,plc 1,,,,exact value only
2231,"polifor grade with tape tensile strength <=2714 mpa, and glow wire ignition temperature 720 °c, 0.5mm thickness",tensile strength astm d 3039 m tape 0° (mpa),property,2714.0,,2714.0,mpa,open upper (<= max)
2231,"polifor grade with tape tensile strength <=2714 mpa, and glow wire ignition temperature 720 °c, 0.5mm thickness",glow wire ignition temperature,ul_sub_property,720.0,648.0,792.0,°c,banded (value +/- band)
2231,"polifor grade with tape tensile strength <=2714 mpa, and glow wire ignition temperature 720 °c, 0.5mm thickness",minimum thickness (mm),ul_property,0.5,,,mm,exact value only
2232,"glass fiber, mvr = 15cc/10min, ball indention hardness = 145mpa, tailgate protective tube housing",melt volume-flow rate iso 1133 (cm³/10min),property,15.0,13.5,16.5,cc/10min,banded (value +/- band)
2232,"glass fiber, mvr = 15cc/10min, ball indention hardness = 145mpa, tailgate protective tube housing",ball indentation hardness iso 2039-1 h 358/30 (mpa),property,145.0,130.5,159.5,mpa,banded (value +/- band)
2233,tensile stress (yield) 22mpa,tensile stress at yield iso 527-1/-2 50mm/min (mpa),property,22.0,19.8,24.2,mpa,banded (value +/- band)
2239,talcoprene 540tl2 le grade bulk density,bulk density iso 60 (kg/m³),property,,,,,categorical / no number
2241,unnotched charpy impact less than or equal to 171 ultra high molecular weight polyethylene to buy in beijing,charpy impact strength,property,171.0,,171.0,,open upper (<= max)
2260,polyphenylene sulfide with charpy impact 50kj / meter square,charpy impact strength,property,50.0,45.0,55.0,kj / meter square,banded (value +/- band)
2265,"fm >= 18gpa, celanyl, 50% filler",flexural modulus,property,18.0,18.0,,gpa,open lower (>= min)
2280,polybutylene terephthalate for protective housing for tailgate with maximum charpy notch 2537joule per square meter,charpy notched impact strength,property,2537.0,,2537.0,joule per square meter,open upper (<= max)
2283,looking for a styrene-butadiene-styrene fibre 21glass beads with maximum dielectric loss 100hz 15.57,relative permittivity iec 62631-2-1 100hz,property,15.57,,15.57,,open upper (<= max)
2295,pipelon tensile strain at break iso 527-1/-2 50mm/min (%) = 242.24percentage in the range of 139-328; 285.79 charpy impact strength unnotched,tensile strain at break iso 527-1/-2 50mm/min (%),property,242.24,139.0,328.0,percentage,banded (value +/- band)
2295,pipelon tensile strain at break iso 527-1/-2 50mm/min (%) = 242.24percentage in the range of 139-328; 285.79 charpy impact strength unnotched,charpy impact strength,property,285.79,257.21,314.37,,banded (value +/- band)
2300,strong mv and loi + unfilled,melt volume-flow rate iso 1133 (cm³/10min),property,strong,,,,exact value only
2300,strong mv and loi + unfilled,oxygen index iso 4589-1/-2 (%),property,strong,,,,exact value only
2307,izod impact notched (no-break),izod notched impact strength,property,nb,,,,exact value only
2311,can you recommend a arc r: plc 6 nylon 6/12 pip grade,arc resistance,ul_property,plc 6,,,,exact value only
2316,hemical resistance compression set <36 long chain pa thermoforming,compression set,property,36.0,,36.0,,open upper (<= max)
2323,tc grade with a flamerating (v 0),flame rating,ul_sub_property,v-0,,,,exact value only
2323,tc grade with a flamerating (v 0),minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2326,can you recommend a dres f-3 high density polyethylene laprene grade,detergent resistance,ul_property,f3,,,,exact value only
2330,find a material that is minimum of viscosity number 494,"viscosity number iso 307, 1628 (cm³/g)",property,494.0,494.0,,,open lower (>= min)
2331,ff grade with a min thickness 1 5vb,flame rating,ul_sub_property,5vb,,,,exact value only
2331,ff grade with a min thickness 1 5vb,minimum thickness (mm),ul_property,1.0,,,mm,exact value only
2333,i would be looking for a pps with charpy impact of more than 50 kj/m2,charpy impact strength,property,50.0,50.0,,kj/m2,open lower (>= min)
2344,cold temperature performance with high elongation at break,tensile strain at break,property,high,,,,exact value only
2354,i want a pa grade with a tm >= 300degc,melting temperature iso 11357-1/-3 10°c/min (°c),property,300.0,300.0,,degc,open lower (>= min)
2356,grades that have plc 1 high voltage arc resist ignition,arc resistance,ul_property,plc 1,,,,exact value only
2368,"high density, low melting temp",density iso 1183 (kg/m³),property,high,,,,exact value only
2368,"high density, low melting temp",melting temperature iso 11357-1/-3 10°c/min (°c),property,low,,,,exact value only
2369,(no-break) izod notched impact,izod notched impact strength,property,nb,,,,exact value only
2396,need a grade with a flammabilityclassification of hb40,flammability classification,ul_sub_property,hb40,,,,exact value only
2396,need a grade with a flammabilityclassification of hb40,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2401,conductive filler 29 - 51 flameclassification @ 0.6 of 5 vb,flammability classification,ul_sub_property,5vb,,,,exact value only
2401,conductive filler 29 - 51 flameclassification @ 0.6 of 5 vb,minimum thickness (mm),ul_property,0.6,,,mm,exact value only
2404,grades that have hvtr (plc-1),high voltage arc tracking rate (hvtr),ul_property,plc 1,,,,exact value only
2406,"pa 6, flexural modulus 10300, tc 1.3, fr v0",flexural modulus,property,10300.0,9270.0,11330.0,,banded (value +/- band)
2406,"pa 6, flexural modulus 10300, tc 1.3, fr v0",thermal conductivity,property,1.3,1.17,1.43,,banded (value +/- band)
2406,"pa 6, flexural modulus 10300, tc 1.3, fr v0",flame rating,ul_sub_property,v-0,,,,exact value only
2406,"pa 6, flexural modulus 10300, tc 1.3, fr v0",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2416,glow wire flame @ 2.2 888 pvdf,glow wire flammability index,ul_sub_property,888.0,799.2,976.8,,banded (value +/- band)
2416,glow wire flame @ 2.2 888 pvdf,minimum thickness (mm),ul_property,2.2,,,mm,exact value only
2420,materials that have voltage arc tracking rate (plc-0),high voltage arc tracking rate (hvtr),ul_property,plc 0,,,,exact value only
2427,glow wire flammability index - 919°c,glow wire flammability index,ul_sub_property,919.0,827.1,1010.9,°c,banded (value +/- band)
2427,glow wire flammability index - 919°c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2428,izod (nb),izod,property,nb,,,,exact value only
2429,nobreak izod impact strength (unnotched),izod impact strength,property,nb,,,,exact value only
2433,anti acid hdt=115 thermoplastic elastomer extrusion wire coating,temperature of deflection under load,property,115.0,103.5,126.5,,banded (value +/- band)
2439,non-halogenated/red phosphorous free flame retardant soft 57 polyphenylene sulfide 2k injection molding,shore a hardness iso 48-4 / iso 868 15s,property,57.0,51.3,62.7,,banded (value +/- band)
2448,voltage arc tracking rate plc 4 cti =576 with 15% range,high voltage arc tracking rate (hvtr),ul_property,plc 4,,,,exact value only
2448,voltage arc tracking rate plc 4 cti =576 with 15% range,comparative tracking index (cti),ul_property,576.0,489.6,662.4,,banded (value +/- band)
2468,tf mfi55.3 pa66-6 rotational moulding,melt mass-flow rate iso 1133 (g/10min),property,55.3,49.77,60.83,,banded (value +/- band)
2473,pa6 or pa66 with tm. 300 deg c,melting temperature iso 11357-1/-3 10°c/min (°c),property,300.0,270.0,330.0,c,banded (value +/- band)
2474,strain break 5 mm/min of lfrt pp-gf40-10 black?,tensile strain at break iso 527-1/-2 5mm/min (%),property,,,,,categorical / no number
2491,pa6 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2491,pa6 v0,flame rating,ul_sub_property,v-0,,,,exact value only
2501,"what pps grade has flex modulus of 14700 mpa, deflection temp of 270c under 1.8 mpa load and vol resistivity of >= 1.0e15 ohm meteres",flexural modulus,property,14700.0,13230.0,16170.0,mpa,banded (value +/- band)
2501,"what pps grade has flex modulus of 14700 mpa, deflection temp of 270c under 1.8 mpa load and vol resistivity of >= 1.0e15 ohm meteres",temperature of deflection under load,property,270.0,243.0,297.0,c,banded (value +/- band)
2501,"what pps grade has flex modulus of 14700 mpa, deflection temp of 270c under 1.8 mpa load and vol resistivity of >= 1.0e15 ohm meteres",volume resistivity iec 62631-3-1 (ohm.m),property,1.0e+15,1.0e+15,,ohm meteres,open lower (>= min)
2513,materials that have ar of plc-2,arc resistance,ul_property,plc 2,,,,exact value only
2514,glass fiber and mineral filled grade to use in a microwave oven that has a v0 flammability rating and a cti of plc 3,flame rating,ul_sub_property,v-0,,,,exact value only
2514,glass fiber and mineral filled grade to use in a microwave oven that has a v0 flammability rating and a cti of plc 3,comparative tracking index (cti),ul_property,plc 3,,,,exact value only
2514,glass fiber and mineral filled grade to use in a microwave oven that has a v0 flammability rating and a cti of plc 3,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2520,grades that have dtul maximum 204f,temperature of deflection under load,property,204.0,,204.0,f,open upper (<= max)
2524,semi aromatic pa emod=36422 nylon 6-12,tensile modulus,property,36422.0,32779.8,40064.2,,banded (value +/- band)
2537,materials that have 2011/65/eu of +863 compliant,rohs 2011/65/eu material,ul_property,+863 compliant,,,,exact value only
2545,polyamide 1010 with fiber areal weight (g/m²) =236g/m² around 20% variation avg. particle size 416µm of +/-10% range,fiber areal weight - (g/m²),property,236.0,188.8,283.2,g/m²,banded (value +/- band)
2545,polyamide 1010 with fiber areal weight (g/m²) =236g/m² around 20% variation avg. particle size 416µm of +/-10% range,average particle size laser scattering d50 (µm),property,416.0,374.4,457.6,µm,banded (value +/- band)
2556,tpv shore a 45,shore a hardness iso 48-4 / iso 868 15s,property,45.0,40.5,49.5,,banded (value +/- band)
2561,tensile creep modulus in the range of 4427 - 6783 mpa grade,tensile creep modulus,property,4427.0,4427.0,6783.0,mpa,banded (value +/- band)
2562,"flame rating of v0, hdt 1.8 mpa equals to 230 , washing machine pump",temperature of deflection under load iso 75-1/-2 1.8 mpa (°c),property,230.0,207.0,253.0,,banded (value +/- band)
2562,"flame rating of v0, hdt 1.8 mpa equals to 230 , washing machine pump",flame rating,ul_sub_property,v-0,,,,exact value only
2562,"flame rating of v0, hdt 1.8 mpa equals to 230 , washing machine pump",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2563,products with molecular weight <= 1482g/mol,average molecular weight margolies' equation (g/mol),property,1482.0,,1482.0,g/mol,open upper (<= max)
2566,"effective thermal diffusivity, through plane direction less than or equal to 1364 m²/s",effective thermal diffusivity iso 22007-4 through plane (m²/s),property,1364.0,,1364.0,m²/s,open upper (<= max)
2567,materials that have detergent resistance=f4,detergent resistance,ul_property,f4,,,,exact value only
2579,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2579,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
2585,polycarbonate sh d (68) long chain pa,shore d hardness iso 48-4 / iso 868 15s,property,68.0,61.2,74.8,,banded (value +/- band)
2598,can you recommend a rohs & eu = +863-compliant hd-pe laprene grade,rohs 2011/65/eu material,ul_property,+863 compliant,,,,exact value only
2606,grades that have out door suitability-f 2,outdoor suitability,ul_property,f2,,,,exact value only
2608,can you recommend a ul listed polypropylene lft grade,minimum thickness (mm),ul_property,,,,,categorical / no number
2608,can you recommend a ul listed polypropylene lft grade,flame rating,ul_sub_property,,,,,categorical / no number
2616,lower melt viscosity,melt viscosity,property,lower,,,,exact value only
2617,"get nylon 10-10 material with the condition, charpyimpact(unnotch)=medium",charpy impact strength,property,medium,,,,exact value only
2619,materials that have non halo material compliant,non-halogenated material,ul_property,compliant,,,,exact value only
2620,relative thermal index impact greater than or equal to 61 °c,relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,61.0,61.0,,°c,open lower (>= min)
2620,relative thermal index impact greater than or equal to 61 °c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2638,specific resitivity - 20,specific resistivity,property,20.0,18.0,22.0,,banded (value +/- band)
2645,"15% glass fiber, laser direct structuring, flexural strength ≥150mpa",flexural strength,property,150.0,150.0,,mpa,open lower (>= min)
2655,material with 52.59loi,oxygen index iso 4589-1/-2 (%),property,52.59,47.33,57.85,,banded (value +/- band)
2670,high-current ignition @ 3 of plc-0,high-current arc ignition (hai),ul_sub_property,plc 0,,,,exact value only
2670,high-current ignition @ 3 of plc-0,minimum thickness (mm),ul_property,3.0,,,mm,exact value only
2674,hot wire ignition @ 2.2 of plc 4 cfr/cf,hot wire ignition (hwi),ul_sub_property,plc 4,,,,exact value only
2674,hot wire ignition @ 2.2 of plc 4 cfr/cf,minimum thickness (mm),ul_property,2.2,,,mm,exact value only
2675,"unfilled, thermally conductive, v0, light weighting",flame rating,ul_sub_property,v-0,,,,exact value only
2675,"unfilled, thermally conductive, v0, light weighting",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2677,what grade of pps gf40 is suitable for water immersion?,water absorption sim. to iso 62 2mm (%),property,,,,,categorical / no number
2694,want wear resistant grade that has a compressive modulus of 9000mpa and clte of 9e-6 cm/cm/°c,compressive modulus iso 604 (mpa),property,9000.0,8100.0,9900.0,mpa,banded (value +/- band)
2694,want wear resistant grade that has a compressive modulus of 9000mpa and clte of 9e-6 cm/cm/°c,coefficient of linear thermal expansion (clte),property,9.0,8.1,9.9,e-6 cm/cm/°c,banded (value +/- band)
2703,highgloss 574df pa666 mucell,dissipation factor,property,574.0,516.6,631.4,,banded (value +/- band)
2706,"recommend pom material that meets the following requirements ( application paint can nozzle ) , mold shrinkage of 1.4% , tensile modulus of 3700mpa",molding shrinkage,property,1.4,1.2599999999999998,1.54,%,banded (value +/- band)
2706,"recommend pom material that meets the following requirements ( application paint can nozzle ) , mold shrinkage of 1.4% , tensile modulus of 3700mpa",tensile modulus,property,3700.0,3330.0,4070.0,mpa,banded (value +/- band)
2710,yellow card for ul certified grades,minimum thickness (mm),ul_property,,,,,categorical / no number
2710,yellow card for ul certified grades,flame rating,ul_sub_property,,,,,categorical / no number
2721,products with strebr at 5mm min = high,tensile stress at break iso 527-1/-2 5mm/min (mpa),property,high,,,,exact value only
2725,need a grade with a relative thermal index - mechanical impact (rti imp) (°c) <298 °c,relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,298.0,,298.0,°c,open upper (<= max)
2725,need a grade with a relative thermal index - mechanical impact (rti imp) (°c) <298 °c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
2732,"pa 6t,6i compressive strength iso 604 (mpa) 239 mpa in the range of 199 - 295, easy flow",compressive strength iso 604 (mpa),property,239.0,199.0,295.0,mpa,banded (value +/- band)
2739,what materials have nsf61 certification at 23c and a continuous service temperature of 130c and a flexural modulus between 16000 and 20000 mpa?,continuous service temperature iec 60216-1 (°c),property,130.0,117.0,143.0,c,banded (value +/- band)
2739,what materials have nsf61 certification at 23c and a continuous service temperature of 130c and a flexural modulus between 16000 and 20000 mpa?,flexural modulus,property,16000.0,16000.0,20000.0,mpa,banded (value +/- band)
2755,ar plc2 cti of plc-2,arc resistance,ul_property,plc 2,,,,exact value only
2755,ar plc2 cti of plc-2,comparative tracking index (cti),ul_property,plc 2,,,,exact value only
2756,grades that have melt mass-flow rate of minimum 52g/10min,melt mass-flow rate iso 1133 (g/10min),property,52.0,52.0,,g/10min,open lower (>= min)
2761,"what material has approved auto spec vw50125, nylon 6 with heat deflection temp at .45mpa of 220 and can be used in a tailgate tube housing",temperature of deflection under load iso 75-1/-2 0.45 mpa (°c),property,220.0,198.0,242.0,,banded (value +/- band)
