idx,query,n_chars,n_words,n_entities_populated,entities_populated,GRADE,APPLICATION,BRAND,POLYMER,PROPERTY,FILLER,FEATURE,PROCESSING,DELIVERY_FORM,COMPETITOR_GRADE,AUTO_CERT,RAILWAY_CERT,WATER_CERT,NSF_CERT,INDUSTRY,REGION,prop_count,filler_names,filler_total_load,prop1_name,prop1_type,prop1_value,prop1_min,prop1_max,prop1_unit
712,moplen rp348n,13,2,1,COMPETITOR_GRADE,,,,,,,,,,moplen rp348n,,,,,,,0,,,,,,,,
713,fortron lm1140l4,16,2,1,GRADE,fortron lm1140l4,,,,,,,,,,,,,,,,0,,,,,,,,
714,tisblend fl 15d03 k02 r01,25,5,1,COMPETITOR_GRADE,,,,,,,,,,tisblend fl 15d03 k02 r01,,,,,,,0,,,,,,,,
715,kep fg2025 grade,16,3,1,GRADE,kep fg2025,,,,,,,,,,,,,,,,0,,,,,,,,
716,need an smt capable lcp with high flatness and good weldline strength,69,12,2,"POLYMER,FEATURE",,,,lcp,,,smt process | low warpage | weldline strength,,,,,,,,,,0,,,,,,,,
717,alternative to sumikasuper e5006l,33,4,1,COMPETITOR_GRADE,,,,,,,,,,sumikasuper e5006l,,,,,,,0,,,,,,,,
718,vydyner530hbk02 south america,29,3,2,"COMPETITOR_GRADE,REGION",,,,,,,,,,vydyner530hbk02,,,,,,americas,0,,,,,,,,
719,akulon k223-hm6,15,2,1,COMPETITOR_GRADE,,,,,,,,,,akulon k223-hm6,,,,,,,0,,,,,,,,
720,stellantis-chrysler auto approved cpn 3199 certifcation,55,6,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""stellantis-chrysler"", ""certs"": [""cpn 3199""]}]",,,,,,0,,,,,,,,
721,polyphenylene sulfide porous sintering cable extrusion,54,6,2,"POLYMER,PROCESSING",,,,pps,,,,porous sintering | extrusion - wire and cable,,,,,,,,,0,,,,,,,,
722,ho chi minh city,16,4,1,REGION,,,,,,,,,,,,,,,,asia pacific,0,,,,,,,,
723,infino hm-4300g offset,22,3,1,COMPETITOR_GRADE,,,,,,,,,,infino hm-4300g,,,,,,,0,,,,,,,,
724,zytel pls95g35dh1ef bk314lm,27,3,1,GRADE,zytel pls95g35dh1ef bk314lm,,,,,,,,,,,,,,,,0,,,,,,,,
725,pomic21 and crosslinked,23,3,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""nissan"", ""certs"": [""pomic21""]}]",,,,,,0,,,,,,,,
726,gravi-tech grv-np-110-w-nat,27,2,1,COMPETITOR_GRADE,,,,,,,,,,gravi-tech grv-np-110-w-nat,,,,,,,0,,,,,,,,
727,lnp lubricomp compound ol009,28,4,1,COMPETITOR_GRADE,,,,,,,,,,lnp lubricomp compound ol009,,,,,,,0,,,,,,,,
728,damping behavior avpartsize more than 262µm,43,6,1,PROPERTY,,,,,"[{""property_name"": ""average particle size laser scattering d50 (µm)"", ""modifier"": {""value"": ""262.0"", ""min"": ""262.0"", ""max"": null, ""unit"": ""µm""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,average particle size laser scattering d50 (µm),property,262.0,262.0,,µm
729,altech pa6 a 4012/500 mr12,26,5,1,COMPETITOR_GRADE,,,,,,,,,,altech pa6 a 4012/500 mr12,,,,,,,0,,,,,,,,
730,"pps, flex mod >=14700mpa, dbl5420",33,5,3,"POLYMER,PROPERTY,AUTO_CERT",,,,pps,"[{""property_name"": ""flexural modulus"", ""modifier"": {""value"": ""14700.0"", ""min"": ""14700.0"", ""max"": null, ""unit"": ""mpa""}, ""property_type"": ""property""}]",,,,,,"[{""oem"": ""mercedes-benz"", ""certs"": [""dbl5420""]}]",,,,,,1,,,flexural modulus,property,14700.0,14700.0,,mpa
731,products with volumeresistivity=2.22e+16 ohm.m,46,4,1,PROPERTY,,,,,"[{""property_name"": ""volume resistivity iec 62631-3-1 (ohm.m)"", ""modifier"": {""value"": ""2.22e+16"", ""min"": ""2.00e+16"", ""max"": ""2.45e+16"", ""unit"": ""ohm.m""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,volume resistivity iec 62631-3-1 (ohm.m),property,2.22e+16,2.00e+16,2.45e+16,ohm.m
732,294.04 glow wire @ 1.5mm specification for pp-gf40-0406 p10/10 black,68,10,2,"GRADE,PROPERTY",pp-gf40-0406 p10/10 black,,,,"[{""property_name"": ""glow wire"", ""modifier"": {""value"": ""294.04"", ""min"": ""264.64"", ""max"": ""323.44"", ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""1.5"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,2,,,glow wire,ul_sub_property,294.04,264.64,323.44,
733,sofprene 54209za85 nero,23,3,1,GRADE,sofprene 54209za85 nero,,,,,,,,,,,,,,,,0,,,,,,,,
734,ghana sourced ryn,17,3,2,"BRAND,REGION",,,rynite,,,,,,,,,,,,,europe middle east africa,0,,,,,,,,
735,offset for pbt 4130-201d,24,4,1,COMPETITOR_GRADE,,,,,,,,,,pbt 4130-201d,,,,,,,0,,,,,,,,
736,pbt gf15 v-0 heat shock ,24,5,4,"POLYMER,PROPERTY,FILLER,FEATURE",,,,pbt,"[{""property_name"": ""flame rating"", ""modifier"": {""value"": ""v-0"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.4"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]","[{""filler_name"": [""glass fiber""]}, {""total_load"": {""value"": ""15"", ""min"": ""10"", ""max"": ""20""}}]",increased thermal conductivity,,,,,,,,,,2,glass fiber,15,flame rating,ul_sub_property,v-0,,,
737,nsf 61 gmw16733p pbt gf30f general motors (gm),46,8,2,"AUTO_CERT,NSF_CERT",,,,,,,,,,,"[{""oem"": ""general motors (gm)"", ""certs"": [""gmw16733p pbt gf30f""]}]",,,nsf 61,,,0,,,,,,,,
738,alternative to torayca 3101t-20v,32,4,1,COMPETITOR_GRADE,,,,,,,,,,torayca 3101t-20v,,,,,,,0,,,,,,,,
739,powder and acs 85 deg celsius,29,6,2,"DELIVERY_FORM,WATER_CERT",,,,,,,,,powder,,,,"[{""standard"": ""acs"", ""temp"": [""85""]}]",,,,0,,,,,,,,
740,altech pa66 a 2015/710 gf15 im,30,6,1,COMPETITOR_GRADE,,,,,,,,,,altech pa66 a 2015/710 gf15 im,,,,,,,0,,,,,,,,
741,rtp 4409,8,2,1,COMPETITOR_GRADE,,,,,,,,,,rtp 4409,,,,,,,0,,,,,,,,
742,looking for lftr pp-gf30-0551 black,35,5,1,GRADE,lftr pp-gf30-0551 black,,,,,,,,,,,,,,,,0,,,,,,,,
743,continental - sn 57908-4,24,4,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""continental"", ""certs"": [""sn 57908-4""]}]",,,,,,0,,,,,,,,
744,"nsf 61, wras 23 deg celsius, r23 - hl2, stellantis-chrysler certifications",74,11,4,"AUTO_CERT,RAILWAY_CERT,WATER_CERT,NSF_CERT",,,,,,,,,,,"[{""oem"": ""stellantis-chrysler"", ""certs"": [""all""]}]","[{""standard"": ""en 45545-2"", ""hazard_level"": [""hl2""], ""req_set"": [""r23""]}]","[{""standard"": ""wras"", ""temp"": [""23""]}]",nsf 61,,,0,,,,,,,,
745,uv resistant kepital,20,3,2,"BRAND,FEATURE",,,kepital,,,,u.v. stabilized or stable to weather,,,,,,,,,,0,,,,,,,,
746,need a grade with a flame rating class v2 1mm thick.,52,11,1,PROPERTY,,,,,"[{""property_name"": ""flame rating"", ""modifier"": {""value"": ""v-2"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""1.0"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,2,,,flame rating,ul_sub_property,v-2,,,
747,ff 71g001d62 neutro material,28,4,1,GRADE,ff 71g001d62 neutro,,,,,,,,,,,,,,,,0,,,,,,,,
748,pocan bf4235 000000,19,3,1,COMPETITOR_GRADE,,,,,,,,,,pocan bf4235 000000,,,,,,,0,,,,,,,,
749,alternative for schulamid 6 gf 25 fr,36,7,1,COMPETITOR_GRADE,,,,,,,,,,schulamid 6 gf 25 fr,,,,,,,0,,,,,,,,
750,egypt approved food grade fri,29,5,2,"BRAND,REGION",,,frianyl,,,,,,,,,,,,,europe middle east africa,0,,,,,,,,
751,pb and nsf 61 at 60 degrees,27,7,2,"BRAND,WATER_CERT",,,pibiter,,,,,,,,,,"[{""standard"": ""nsf 61"", ""temp"": [""60""]}]",,,,0,,,,,,,,
752,eco b h d8 gy 7040/2 with excellent low warpage,47,10,2,"GRADE,FEATURE",eco b h d8 gy 7040/2,,,,,,low warpage,,,,,,,,,,0,,,,,,,,
753,offset to durethan akv35hrh2.0 901510,37,5,1,COMPETITOR_GRADE,,,,,,,,,,durethan akv35hrh2.0 901510,,,,,,,0,,,,,,,,
754,kebaflex / u a 85 st b01 natural offset,39,9,1,COMPETITOR_GRADE,,,,,,,,,,kebaflex / u a 85 st b01 natural,,,,,,,0,,,,,,,,
755,dimensional chg 0.11 % specification for zenite 51301l,54,8,2,"GRADE,PROPERTY",zenite 51301l,,,,"[{""property_name"": ""dimensional change"", ""modifier"": {""value"": ""0.11"", ""min"": ""0.1"", ""max"": ""0.12"", ""unit"": ""%""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,1,,,dimensional change,ul_property,0.11,0.1,0.12,%
756,materials that have relative thermal index mechanical impact (135),66,9,1,PROPERTY,,,,,"[{""property_name"": ""relative thermal index - mechanical impact (rti imp) (°c)"", ""modifier"": {""value"": ""135.0"", ""min"": ""121.5"", ""max"": ""148.5"", ""unit"": """"}, ""property_type"": ""ul_sub_property""}, {""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.4"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,2,,,relative thermal index - mechanical impact (rti imp) (°c),ul_sub_property,135.0,121.5,148.5,
757,general motors (gm) gmw3038p-pa66-gf45j auto approval,53,6,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""general motors (gm)"", ""certs"": [""gmw3038p-pa66-gf45j""]}]",,,,,,0,,,,,,,,
758,i am looking for a pps with a charpy unnotched bigger than 50 kj/m²,67,14,2,"POLYMER,PROPERTY",,,,pps,"[{""property_name"": ""charpy impact strength"", ""modifier"": {""value"": ""50.0"", ""min"": ""50.0"", ""max"": null, ""unit"": ""kj/m²""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,charpy impact strength,property,50.0,50.0,,kj/m²
759,"customer is looking for a material with a shore d of 41, a tear strength of 63 kn/m and temperature of embrittlement of 652°c. application is suspension bellow.",160,28,3,"APPLICATION,PROPERTY,INDUSTRY",,suspension bellow,,,"[{""property_name"": ""shore d hardness iso 48-4 / iso 868 15s"", ""modifier"": {""value"": ""41.0"", ""min"": ""36.9"", ""max"": ""45.1"", ""unit"": """"}, ""property_type"": ""property""}, {""property_name"": ""tear strength iso 34-1 normal (kn/m)"", ""modifier"": {""value"": ""63.0"", ""min"": ""56.7"", ""max"": ""69.3"", ""unit"": ""kn/m""}, ""property_type"": ""property""}, {""property_name"": ""brittleness temperature"", ""modifier"": {""value"": ""652.0"", ""min"": ""586.8"", ""max"": ""717.2"", ""unit"": ""°c""}, ""property_type"": ""property""}]",,,,,,,,,,automotive & transportation,,3,,,shore d hardness iso 48-4 / iso 868 15s,property,41.0,36.9,45.1,
760,weatherable,11,1,1,FEATURE,,,,,,,u.v. stabilized or stable to weather,,,,,,,,,,0,,,,,,,,
761,mercedes-benz auto approval dbl5562.34 tps certifcation,55,6,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""mercedes-benz"", ""certs"": [""dbl5562.34 tps""]}]",,,,,,0,,,,,,,,
762,offset to avalon 65 db,22,5,1,COMPETITOR_GRADE,,,,,,,,,,avalon 65 db,,,,,,,0,,,,,,,,
763,alternative to palmid r 6 s gf20,32,7,1,COMPETITOR_GRADE,,,,,,,,,,palmid r 6 s gf20,,,,,,,0,,,,,,,,
764,offset for luvocom 1-7384/eg/gy,31,4,1,COMPETITOR_GRADE,,,,,,,,,,luvocom 1-7384/eg/gy,,,,,,,0,,,,,,,,
765,durethan bkv20fn01 000000,25,3,1,COMPETITOR_GRADE,,,,,,,,,,durethan bkv20fn01 000000,,,,,,,0,,,,,,,,
766,"cn, extrusion - ram",19,4,2,"BRAND,PROCESSING",,,celcon,,,,,ram extrusion,,,,,,,,,0,,,,,,,,
767,ford water resistant temperature 300,36,5,3,"PROPERTY,FEATURE,AUTO_CERT",,,,,"[{""property_name"": ""continuous service temperature iec 60216-1 (°c)"", ""modifier"": {""value"": ""300.0"", ""min"": ""270.0"", ""max"": ""330.0"", ""unit"": """"}, ""property_type"": ""property""}]",,hydrolysis resistant,,,,"[{""oem"": ""ford"", ""certs"": [""all""]}]",,,,,,1,,,continuous service temperature iec 60216-1 (°c),property,300.0,270.0,330.0,
768,offset for keyflex bt 2140d,27,5,1,COMPETITOR_GRADE,,,,,,,,,,keyflex bt 2140d,,,,,,,0,,,,,,,,
769,post-consumer recycle blueridge importable to equatorial guinea,63,7,3,"BRAND,FEATURE,REGION",,,blueridge,,,,recycled content,,,,,,,,,europe middle east africa,0,,,,,,,,
770,alternative for leona fr370,27,4,1,COMPETITOR_GRADE,,,,,,,,,,leona fr370,,,,,,,0,,,,,,,,
771,tislamid a 20d03 r01 eu,23,5,2,"COMPETITOR_GRADE,REGION",,,,,,,,,,tislamid a 20d03 r01,,,,,,europe middle east africa,0,,,,,,,,
772,pps with a charpy >=50kj/m2,27,5,2,"POLYMER,PROPERTY",,,,pps,"[{""property_name"": ""charpy"", ""modifier"": {""value"": ""50.0"", ""min"": ""50.0"", ""max"": null, ""unit"": ""kj/m2""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,charpy,property,50.0,50.0,,kj/m2
773,emlon 6 gfr 20 offset,21,5,1,COMPETITOR_GRADE,,,,,,,,,,emlon 6 gfr 20,,,,,,,0,,,,,,,,
774,unfilled pom with sg of 1.4 and mvr of 8.4 cm3/10 min,53,12,3,"POLYMER,PROPERTY,FILLER",,,,pom,"[{""property_name"": ""density iso 1183 (kg/m³)"", ""modifier"": {""value"": ""1.4"", ""min"": ""1.2599999999999998"", ""max"": ""1.54"", ""unit"": """"}, ""property_type"": ""property""}, {""property_name"": ""melt volume-flow rate iso 1133 (cm³/10min)"", ""modifier"": {""value"": ""8.4"", ""min"": ""7.56"", ""max"": ""9.24"", ""unit"": ""cm3/10 min""}, ""property_type"": ""property""}]","[{""filler_name"": [""unfilled""]}, {""total_load"": {""value"": null, ""min"": null, ""max"": null}}]",,,,,,,,,,,2,unfilled,,density iso 1183 (kg/m³),property,1.4,1.2599999999999998,1.54,
775,laperos e130g,13,2,1,COMPETITOR_GRADE,,,,,,,,,,laperos e130g,,,,,,,0,,,,,,,,
776,altech pbt a 1000/106,21,4,1,COMPETITOR_GRADE,,,,,,,,,,altech pbt a 1000/106,,,,,,,0,,,,,,,,
777,kocetal gf702,13,2,1,COMPETITOR_GRADE,,,,,,,,,,kocetal gf702,,,,,,,0,,,,,,,,
778,r26 v0 and hyt,14,4,2,"BRAND,RAILWAY_CERT",,,hytrel,,,,,,,,,"[{""standard"": ""en 45545-2"", ""hazard_level"": [""v0""], ""req_set"": [""r26""]}]",,,,,0,,,,,,,,
779,akromid s3 gf 15 1 black (3316),31,7,1,COMPETITOR_GRADE,,,,,,,,,,akromid s3 gf 15 1 black (3316),,,,,,,0,,,,,,,,
780,stp 201-73,10,2,1,GRADE,stp 201-73,,,,,,,,,,,,,,,,0,,,,,,,,
781,b3gf30tm2gy7022/a material,26,2,1,GRADE,b3gf30tm2gy7022/a,,,,,,,,,,,,,,,,0,,,,,,,,
782,lftr pet-gf30-01 grade,22,3,1,GRADE,lftr pet-gf30-01,,,,,,,,,,,,,,,,0,,,,,,,,
783,ms237-05typeb hyundai nsf 61,28,4,2,"AUTO_CERT,NSF_CERT",,,,,,,,,,,"[{""oem"": ""hyundai"", ""certs"": [""ms237-05typeb""]}]",,,nsf 61,,,0,,,,,,,,
784,petrothene ga1810t,18,2,1,COMPETITOR_GRADE,,,,,,,,,,petrothene ga1810t,,,,,,,0,,,,,,,,
785,hcb9320g offset,15,2,1,COMPETITOR_GRADE,,,,,,,,,,hcb9320g,,,,,,,0,,,,,,,,
786,what grades do we have that are 25% graphite fiber loading,58,11,1,FILLER,,,,,,"[{""filler_name"": [""graphite fiber""]}, {""total_load"": {""value"": ""25"", ""min"": ""20"", ""max"": ""30""}}]",,,,,,,,,,,0,graphite fiber,25,,,,,,
787,offset for dynaflexg7660-1(natural),35,3,1,COMPETITOR_GRADE,,,,,,,,,,dynaflexg7660-1(natural),,,,,,,0,,,,,,,,
788,stp8271-55,10,1,1,GRADE,stp8271-55,,,,,,,,,,,,,,,,0,,,,,,,,
789,alternative to excelink1700b,28,3,1,COMPETITOR_GRADE,,,,,,,,,,excelink1700b,,,,,,,0,,,,,,,,
790,n28 bn22-x017 auto spec,23,4,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""bosch"", ""certs"": [""n28 bn22-x017""]}]",,,,,,0,,,,,,,,
791,akromid b3 cgm 6/20 black (4362),32,6,1,COMPETITOR_GRADE,,,,,,,,,,akromid b3 cgm 6/20 black (4362),,,,,,,0,,,,,,,,
792,i need resin with cti>600 v,27,6,1,PROPERTY,,,,,"[{""property_name"": ""comparative tracking index (cti)"", ""modifier"": {""value"": ""600.0"", ""min"": ""600.0"", ""max"": null, ""unit"": ""v""}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,1,,,comparative tracking index (cti),ul_property,600.0,600.0,,v
793,stellantis-psa group pa6.gf50.14100f.15i.hs,43,3,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""stellantis-psa group"", ""certs"": [""pa6.gf50.14100f.15i.hs""]}]",,,,,,0,,,,,,,,
794,rtp 4005.3 hs,13,3,1,COMPETITOR_GRADE,,,,,,,,,,rtp 4005.3 hs,,,,,,,0,,,,,,,,
795,"long chain pa, long term heat aging and amorphous",49,9,1,POLYMER,,,,lcpa,,,,,,,,,,,,,0,,,,,,,,
796,alternative to starflam px06106,31,4,1,COMPETITOR_GRADE,,,,,,,,,,starflam px06106,,,,,,,0,,,,,,,,
797,hostaform c 9021 xap2 ls eco-b grade,36,7,1,GRADE,hostaform c 9021 xap2 ls eco-b,,,,,,,,,,,,,,,,0,,,,,,,,
798,radilon a rv250kb 856 br,24,5,1,COMPETITOR_GRADE,,,,,,,,,,radilon a rv250kb 856 br,,,,,,,0,,,,,,,,
799,omnilon bonding,15,2,1,BRAND,,,omnilon,,,,,,,,,,,,,,0,,,,,,,,
800,polyfort flp 3754,17,3,1,COMPETITOR_GRADE,,,,,,,,,,polyfort flp 3754,,,,,,,0,,,,,,,,
801,tst n 055 54.17 ms211-36typea-1,31,5,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""continental"", ""certs"": [""tst n 055 54.17""]}, {""oem"": ""hyundai"", ""certs"": [""ms211-36typea-1""]}]",,,,,,0,,,,,,,,
802,rtp 1025,8,2,1,COMPETITOR_GRADE,,,,,,,,,,rtp 1025,,,,,,,0,,,,,,,,
803,ultramid a3zg7 osi bk23273,26,4,1,COMPETITOR_GRADE,,,,,,,,,,ultramid a3zg7 osi bk23273,,,,,,,0,,,,,,,,
804,alternative to stamylan uh410,29,4,1,COMPETITOR_GRADE,,,,,,,,,,stamylan uh410,,,,,,,0,,,,,,,,
805,"pp epdm, med, amman",19,4,3,"POLYMER,FEATURE,REGION",,,,tpv,,,medical/healthcare,,,,,,,,,europe middle east africa,0,,,,,,,,
806,offset for kebaform c 521 xfa,29,6,1,COMPETITOR_GRADE,,,,,,,,,,kebaform c 521 xfa,,,,,,,0,,,,,,,,
807,offset for tecothanett-1074a,28,3,1,COMPETITOR_GRADE,,,,,,,,,,tecothanett-1074a,,,,,,,0,,,,,,,,
808,offset for lnplubricompcompoundrfi12,36,3,1,COMPETITOR_GRADE,,,,,,,,,,lnplubricompcompoundrfi12,,,,,,,0,,,,,,,,
809,eco b gf33 bk 9005/1c,21,5,1,GRADE,eco b gf33 bk 9005/1c,,,,,,,,,,,,,,,,0,,,,,,,,
810,pps with 40% of glass fiber,27,6,2,"POLYMER,FILLER",,,,pps,,"[{""filler_name"": [""glass fiber""]}, {""total_load"": {""value"": ""40"", ""min"": ""35"", ""max"": ""45""}}]",,,,,,,,,,,0,glass fiber,40,,,,,,
811,alternative for schulamid 6 gf 30 fr 4,38,8,1,COMPETITOR_GRADE,,,,,,,,,,schulamid 6 gf 30 fr 4,,,,,,,0,,,,,,,,
812,"baic, plate for backlight",25,4,3,"APPLICATION,AUTO_CERT,INDUSTRY",,plate for backlight,,,,,,,,,"[{""oem"": ""baic"", ""certs"": [""all""]}]",,,,automotive & transportation,,0,,,,,,,,
813,poly(vinylidene fluoride) shear of 453.9/mpa,44,5,0,,,,,,,,,,,,,,,,,,0,,,,,,,,
814,water spec approval,19,3,1,WATER_CERT,,,,,,,,,,,,,"[{""standard"": ""all"", ""temp"": [""all""]}]",,,,0,,,,,,,,
815,grades that have flexural performance < 38768mpa,48,7,1,PROPERTY,,,,,"[{""property_name"": ""flexural modulus"", ""modifier"": {""value"": ""38768.0"", ""min"": null, ""max"": ""38768.0"", ""unit"": ""mpa""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,flexural modulus,property,38768.0,,38768.0,mpa
816,cpn 4097 stellantis-chrysler,28,3,1,AUTO_CERT,,,,,,,,,,,"[{""oem"": ""stellantis-chrysler"", ""certs"": [""cpn 4097""]}]",,,,,,0,,,,,,,,
817,ryn 940 bk503,13,3,1,GRADE,ryn 940 bk503,,,,,,,,,,,,,,,,0,,,,,,,,
818,hf c 9021 xap2 ls,17,5,1,GRADE,hf c 9021 xap2 ls,,,,,,,,,,,,,,,,0,,,,,,,,
819,lc6210 bk010 - bu,17,4,1,GRADE,lc6210 bk010 - bu,,,,,,,,,,,,,,,,0,,,,,,,,
820,tensile = 110,13,3,1,PROPERTY,,,,,"[{""property_name"": ""tensile"", ""modifier"": {""value"": ""110.0"", ""min"": ""99.0"", ""max"": ""121.00000000000001"", ""unit"": """"}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,tensile,property,110.0,99.0,121.00000000000001,
821,alternative to apinatdp2091,27,3,1,COMPETITOR_GRADE,,,,,,,,,,apinatdp2091,,,,,,,0,,,,,,,,
822,grivory ht2v-45h black 9205,27,4,1,COMPETITOR_GRADE,,,,,,,,,,grivory ht2v-45h black 9205,,,,,,,0,,,,,,,,
823,offset for novaduran 5010gt30,29,4,1,COMPETITOR_GRADE,,,,,,,,,,novaduran 5010gt30,,,,,,,0,,,,,,,,
824,latiohm 66-07 pd08 g/30,23,4,1,COMPETITOR_GRADE,,,,,,,,,,latiohm 66-07 pd08 g/30,,,,,,,0,,,,,,,,
825,pellets,7,1,1,DELIVERY_FORM,,,,,,,,,pellets,,,,,,,,0,,,,,,,,
826,need a grade with a non-chlorine&non-brominematerial of compliant,65,8,1,PROPERTY,,,,,"[{""property_name"": ""non-chlorine & non-bromine material"", ""modifier"": {""value"": ""compliant"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,1,,,non-chlorine & non-bromine material,ul_property,compliant,,,
827,high voltage arc resist to ignition plc-4,41,7,1,PROPERTY,,,,,"[{""property_name"": ""arc resistance"", ""modifier"": {""value"": ""plc 4"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_property""}]",,,,,,,,,,,,1,,,arc resistance,ul_property,plc 4,,,
828,pa6 with dissipation factor - 62e-4 in the range of 49-87,57,11,2,"POLYMER,PROPERTY",,,,pa6,"[{""property_name"": ""dissipation factor"", ""modifier"": {""value"": ""62.0"", ""min"": ""49.0"", ""max"": ""87.0"", ""unit"": ""e-4""}, ""property_type"": ""property""}]",,,,,,,,,,,,1,,,dissipation factor,property,62.0,49.0,87.0,e-4
829,akromid a3 gf 50 1 pst black (6838),35,8,1,COMPETITOR_GRADE,,,,,,,,,,akromid a3 gf 50 1 pst black (6838),,,,,,,0,,,,,,,,
830,duranex h7500n,14,2,1,COMPETITOR_GRADE,,,,,,,,,,duranex h7500n,,,,,,,0,,,,,,,,
831,esd c 100.5,11,3,1,COMPETITOR_GRADE,,,,,,,,,,esd c 100.5,,,,,,,0,,,,,,,,
832,"ptfe modified, pa 6t,6i, with low tape tensile modulus and flow rate",68,12,3,"POLYMER,PROPERTY,FEATURE",,,,pa6t/6i,"[{""property_name"": ""tensile modulus astm d 3039 m tape 0° (mpa)"", ""modifier"": {""value"": ""low"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""property""}, {""property_name"": ""melt mass-flow rate iso 1133 (g/10min)"", ""modifier"": {""value"": ""low"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""property""}]",,low wear / low friction,,,,,,,,,,2,,,tensile modulus astm d 3039 m tape 0° (mpa),property,low,,,
833,alternative for bergamidb80natur90,34,3,1,COMPETITOR_GRADE,,,,,,,,,,bergamidb80natur90,,,,,,,0,,,,,,,,
834,"bio-content, extrusion - small tubing",37,5,2,"FEATURE,PROCESSING",,,,,,,bio-content,extrusion - small tubing,,,,,,,,,0,,,,,,,,
835,"the application part's thickness is about 0.75mm, need high flowability, able to withstand smt process at 265 degree and no blister, ul v0 @ 0.75mm",147,25,2,"PROPERTY,FEATURE",,,,,"[{""property_name"": ""minimum thickness (mm)"", ""modifier"": {""value"": ""0.75"", ""min"": null, ""max"": null, ""unit"": ""mm""}, ""property_type"": ""ul_property""}, {""property_name"": ""flame rating"", ""modifier"": {""value"": ""v-0"", ""min"": null, ""max"": null, ""unit"": """"}, ""property_type"": ""ul_sub_property""}]",,smt process | high flow,,,,,,,,,,2,,,minimum thickness (mm),ul_property,0.75,,,mm
836,offset to nylene 5130 pt15,26,5,1,COMPETITOR_GRADE,,,,,,,,,,nylene 5130 pt15,,,,,,,0,,,,,,,,
837,offset for tecacomp pa12 gf30 black 3879,40,7,1,COMPETITOR_GRADE,,,,,,,,,,tecacomp pa12 gf30 black 3879,,,,,,,0,,,,,,,,
838,i want an offset to technomid 6 1/pp for sri lanka,50,11,2,"COMPETITOR_GRADE,REGION",,,,,,,,,,technomid 6 1/pp,,,,,,asia pacific,0,,,,,,,,
839,badamid a70 gf/gk30 offset,26,4,1,COMPETITOR_GRADE,,,,,,,,,,badamid a70 gf/gk30,,,,,,,0,,,,,,,,
840,"pa 6t,xt with 1.50e+16ohm.m vr mi - 15.35 g/10min",49,9,2,"POLYMER,PROPERTY",,,,pa6t/xt,"[{""property_name"": ""volume resistivity iec 62631-3-1 (ohm.m)"", ""modifier"": {""value"": ""1.50e+16"", ""min"": ""1.35e+16"", ""max"": ""1.66e+16"", ""unit"": ""ohm.m""}, ""property_type"": ""property""}, {""property_name"": ""melt mass-flow rate iso 1133 (g/10min)"", ""modifier"": {""value"": ""15.35"", ""min"": ""13.81"", ""max"": ""16.89"", ""unit"": ""g/10min""}, ""property_type"": ""property""}]",,,,,,,,,,,,2,,,volume resistivity iec 62631-3-1 (ohm.m),property,1.50e+16,1.35e+16,1.66e+16,ohm.m
841,lumid hi5006,12,2,1,COMPETITOR_GRADE,,,,,,,,,,lumid hi5006,,,,,,,0,,,,,,,,
