idx,query,property_name,property_type,value,min,max,unit,shape
4406,"low density, high average particle size",density iso 1183 (kg/mÂ³),property,low,,,,exact value only
4406,"low density, high average particle size",average particle size laser scattering d50 (Âµm),property,high,,,,exact value only
4407,low density and average particle size,density iso 1183 (kg/mÂ³),property,low,,,,exact value only
4407,low density and average particle size,average particle size laser scattering d50 (Âµm),property,low,,,,exact value only
4408,high density and average particle size,density iso 1183 (kg/mÂ³),property,high,,,,exact value only
4408,high density and average particle size,average particle size laser scattering d50 (Âµm),property,high,,,,exact value only
4415,nb impact grade,impact strength,property,nb,,,,exact value only
4416,grade with impact nb,impact strength,property,nb,,,,exact value only
4417,nb impact material,impact strength,property,nb,,,,exact value only
4418,material with impact nb,impact strength,property,nb,,,,exact value only
4419,nb-impact grade,impact strength,property,nb,,,,exact value only
4420,nb-impact,impact strength,property,nb,,,,exact value only
4421,impact-nb,impact strength,property,nb,,,,exact value only
4422,izod (nb),izod,property,nb,,,,exact value only
4423,izod nb,izod,property,nb,,,,exact value only
4424,nb izod,izod,property,nb,,,,exact value only
4425,nb - izod,izod,property,nb,,,,exact value only
4426,nb izod imp,izod impact strength,property,nb,,,,exact value only
4427,nb izod impact,izod impact strength,property,nb,,,,exact value only
4428,hwi-plc 3 high current arc ignition @ 0.7 of plc2,hot wire ignition (hwi),ul_sub_property,plc 3,,,,exact value only
4428,hwi-plc 3 high current arc ignition @ 0.7 of plc2,high-current arc ignition (hai),ul_sub_property,plc 2,,,,exact value only
4428,hwi-plc 3 high current arc ignition @ 0.7 of plc2,minimum thickness (mm),ul_property,0.7,,,mm,exact value only
4429,glow wire flammability index - 650 Ã‚Â°c high amp arc ignition at 1.3mm of plc 4,glow wire flammability index,ul_sub_property,650.0,585.0,715.0,Â°c,banded (value +/- band)
4429,glow wire flammability index - 650 Ã‚Â°c high amp arc ignition at 1.3mm of plc 4,high-current arc ignition (hai),ul_sub_property,plc 4,,,,exact value only
4429,glow wire flammability index - 650 Ã‚Â°c high amp arc ignition at 1.3mm of plc 4,minimum thickness (mm),ul_property,1.3,,,mm,exact value only
4430,fr vo and hai plc1,flame rating,ul_sub_property,v-0,,,,exact value only
4430,fr vo and hai plc1,high-current arc ignition (hai),ul_sub_property,plc 1,,,,exact value only
4430,fr vo and hai plc1,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4431,flammabiliti class hb and gwfi 200 deg c,flammability classification,ul_sub_property,hb,,,,exact value only
4431,flammabiliti class hb and gwfi 200 deg c,glow wire flammability index,ul_sub_property,200.0,180.0,220.0,deg c,banded (value +/- band)
4431,flammabiliti class hb and gwfi 200 deg c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4432,gwit 500 degrees f and gwfi 300 deg c,glow wire ignition temperature,ul_sub_property,500.0,450.0,550.0,degrees f,banded (value +/- band)
4432,gwit 500 degrees f and gwfi 300 deg c,glow wire flammability index,ul_sub_property,300.0,270.0,330.0,deg c,banded (value +/- band)
4432,gwit 500 degrees f and gwfi 300 deg c,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4433,flammabiliti class hb 3.2 and gwfi 200 deg c,flammability classification,ul_sub_property,hb,,,,exact value only
4433,flammabiliti class hb 3.2 and gwfi 200 deg c,glow wire flammability index,ul_sub_property,200.0,180.0,220.0,deg c,banded (value +/- band)
4433,flammabiliti class hb 3.2 and gwfi 200 deg c,minimum thickness (mm),ul_property,3.2,2.88,3.52,mm,banded (value +/- band)
4434,gwit 500 degrees f and gwfi 300 deg c @ 0.6 cm,glow wire ignition temperature,ul_sub_property,500.0,450.0,550.0,degrees f,banded (value +/- band)
4434,gwit 500 degrees f and gwfi 300 deg c @ 0.6 cm,glow wire flammability index,ul_sub_property,300.0,270.0,330.0,deg c,banded (value +/- band)
4434,gwit 500 degrees f and gwfi 300 deg c @ 0.6 cm,minimum thickness (mm),ul_property,0.6,0.54,0.66,cm,banded (value +/- band)
4435,gwit 500 degrees f and gwfi 300 deg c @ 0.6 cm thickness,glow wire ignition temperature,ul_sub_property,500.0,450.0,550.0,degrees f,banded (value +/- band)
4435,gwit 500 degrees f and gwfi 300 deg c @ 0.6 cm thickness,glow wire flammability index,ul_sub_property,300.0,270.0,330.0,deg c,banded (value +/- band)
4435,gwit 500 degrees f and gwfi 300 deg c @ 0.6 cm thickness,minimum thickness (mm),ul_property,0.6,0.54,0.66,cm,banded (value +/- band)
4436,pe with tm of 463 deg k,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,deg k,banded (value +/- band)
4437,pe with mp of 463 degrees k,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,degrees k,banded (value +/- band)
4438,pe with melt temp of 463 k,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,k,banded (value +/- band)
4439,pe having tm of 463 kelvin,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,kelvin,banded (value +/- band)
4440,pe having tm of 463 deg kelvin,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,deg kelvin,banded (value +/- band)
4441,pe having tm of 463 degree kelvin,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,degree kelvin,banded (value +/- band)
4442,pom with tm of 463 Ã‚Â°f,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,Â°f,banded (value +/- band)
4443,pom with mp of 463 Ã‚Â°c,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,Â°c,banded (value +/- band)
4444,pom with melt temp of 463 deg c,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,deg c,banded (value +/- band)
4445,pom having tm of 463 degree c,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,degree c,banded (value +/- band)
4446,pom having tm of 463 degrees,melting temperature iso 11357-1/-3 10Â°c/min (Â°c),property,463.0,416.7,509.3,degrees,banded (value +/- band)
4449,hmw - pe powder for filtration with melt mass-flow rate of 1.1 g/10min at 190 Ã‚Â°c and nominal strain at break of 870% with iso 527-1,melt mass-flow rate iso 1133 (g/10min),property,1.1,0.99,1.21,g/10min,banded (value +/- band)
4449,hmw - pe powder for filtration with melt mass-flow rate of 1.1 g/10min at 190 Ã‚Â°c and nominal strain at break of 870% with iso 527-1,nominal strain at break iso 527-1/-2 (%),property,870.0,783.0,957.0,%,banded (value +/- band)
4450,ppa materials with an operating temperature between -40c to 200c,continuous service temperature iec 60216-1 (Â°c),property,,-40.0,200.0,c,explicit range
4451,ppa materials with an operating temperature between -40f to 200f,continuous service temperature iec 60216-1 (Â°c),property,,-40.0,200.0,f,explicit range
4452,ppa materials with an operating temperature between -40deg to 200 deg,continuous service temperature iec 60216-1 (Â°c),property,,-40.0,200.0,deg,explicit range
4505,ul property,minimum thickness (mm),ul_property,,,,,categorical / no number
4505,ul property,flame rating,ul_sub_property,,,,,categorical / no number
4506,ul yc,minimum thickness (mm),ul_property,,,,,categorical / no number
4506,ul yc,flame rating,ul_sub_property,,,,,categorical / no number
4507,yc ul,minimum thickness (mm),ul_property,,,,,categorical / no number
4507,yc ul,flame rating,ul_sub_property,,,,,categorical / no number
4508,show me ul property grades,minimum thickness (mm),ul_property,,,,,categorical / no number
4508,show me ul property grades,flame rating,ul_sub_property,,,,,categorical / no number
4509,need an ul yc grade,minimum thickness (mm),ul_property,,,,,categorical / no number
4509,need an ul yc grade,flame rating,ul_sub_property,,,,,categorical / no number
4510,yc ul grade,minimum thickness (mm),ul_property,,,,,categorical / no number
4510,yc ul grade,flame rating,ul_sub_property,,,,,categorical / no number
4511,ul grade,minimum thickness (mm),ul_property,,,,,categorical / no number
4511,ul grade,flame rating,ul_sub_property,,,,,categorical / no number
4519,ecor and low density,density iso 1183 (kg/mÂ³),property,low,,,,exact value only
4799,nb impact,impact strength,property,nb,,,,exact value only
4800,nb impact,impact strength,property,nb,,,,exact value only
4801,nb impact,impact strength,property,nb,,,,exact value only
4802,nb impact,impact strength,property,nb,,,,exact value only
4803,nb impact,impact strength,property,nb,,,,exact value only
4804,nb,impact strength,property,nb,,,,exact value only
4805,nb,impact strength,property,nb,,,,exact value only
4806,nb,impact strength,property,nb,,,,exact value only
4807,nb,impact strength,property,nb,,,,exact value only
4808,nb,impact strength,property,nb,,,,exact value only
4809,nb,impact strength,property,nb,,,,exact value only
4810,nb,impact strength,property,nb,,,,exact value only
4811,nb,impact strength,property,nb,,,,exact value only
4812,nb property,impact strength,property,nb,,,,exact value only
4813,no break property,impact strength,property,nb,,,,exact value only
4814,nb property,impact strength,property,nb,,,,exact value only
4815,no break property,impact strength,property,nb,,,,exact value only
4876,mi of 250,melt mass-flow rate iso 1133 (g/10min),property,250.0,225.0,275.0,,banded (value +/- band)
4877,mi of 250,melt mass-flow rate iso 1133 (g/10min),property,250.0,225.0,275.0,,banded (value +/- band)
4878,mi of 250  deg k,melt mass-flow rate iso 1133 (g/10min),property,250.0,225.0,275.0,deg k,banded (value +/- band)
4879,mi of 250 degree k,melt mass-flow rate iso 1133 (g/10min),property,250.0,225.0,275.0,degree k,banded (value +/- band)
4880,mi of 250  degrees k,melt mass-flow rate iso 1133 (g/10min),property,250.0,225.0,275.0,degrees k,banded (value +/- band)
4881,mi of 250 k,melt mass-flow rate iso 1133 (g/10min),property,250.0,225.0,275.0,k,banded (value +/- band)
4882,hb40,flammability classification,ul_sub_property,hb40,,,,exact value only
4882,hb40,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4883,hb40,flammability classification,ul_sub_property,hb40,,,,exact value only
4883,hb40,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4884,hb 40,flammability classification,ul_sub_property,hb40,,,,exact value only
4884,hb 40,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4885,hb40 grade,flammability classification,ul_sub_property,hb40,,,,exact value only
4885,hb40 grade,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4886,hb40 ul,flammability classification,ul_sub_property,hb40,,,,exact value only
4886,hb40 ul,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4887,ul hb 40,flammability classification,ul_sub_property,hb40,,,,exact value only
4887,ul hb 40,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4888,ul listed hb40,flammability classification,ul_sub_property,hb40,,,,exact value only
4888,ul listed hb40,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4889,hb 40 ul listing,flammability classification,ul_sub_property,hb40,,,,exact value only
4889,hb 40 ul listing,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4901,nb izod,izod,property,nb,,,,exact value only
4902,nb izod,izod,property,nb,,,,exact value only
4903,izod nb,izod,property,nb,,,,exact value only
4904,izod nb,izod,property,nb,,,,exact value only
4905,nb izod impact,izod impact strength,property,nb,,,,exact value only
4906,nb izod impact,izod impact strength,property,nb,,,,exact value only
4907,izod impact nb,izod impact strength,property,nb,,,,exact value only
4908,izod impact nb,izod impact strength,property,nb,,,,exact value only
4909,hb,flame rating,ul_sub_property,hb,,,,exact value only
4909,hb,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4910,hb,flame rating,ul_sub_property,hb,,,,exact value only
4910,hb,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4911,ul hb,flame rating,ul_sub_property,hb,,,,exact value only
4911,ul hb,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4912,hb ul,flame rating,ul_sub_property,hb,,,,exact value only
4912,hb ul,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4913,ul listed hb,flame rating,ul_sub_property,hb,,,,exact value only
4913,ul listed hb,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
4914,hb ul listing,flame rating,ul_sub_property,hb,,,,exact value only
4914,hb ul listing,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5111,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5111,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
5112,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5112,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
5113,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5113,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
5114,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5114,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
5115,uv94 v0,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5115,uv94 v0,flame rating,ul_sub_property,v-0,,,,exact value only
5116,"high density, tensile modulus of 1200",density iso 1183 (kg/mÂ³),property,high,,,,exact value only
5116,"high density, tensile modulus of 1200",tensile modulus,property,1200.0,1080.0,1320.0,,banded (value +/- band)
5117,high density 1200 tensile modulus,density iso 1183 (kg/mÂ³),property,high,,,,exact value only
5117,high density 1200 tensile modulus,tensile modulus,property,1200.0,1080.0,1320.0,,banded (value +/- band)
5118,high density and tensile modulus of 1200,density iso 1183 (kg/mÂ³),property,high,,,,exact value only
5118,high density and tensile modulus of 1200,tensile modulus,property,1200.0,1080.0,1320.0,,banded (value +/- band)
5152,material that withstands 250 degrees,continuous service temperature iec 60216-1 (Â°c),property,250.0,225.0,275.0,degrees,banded (value +/- band)
5153,material with pps and which withstands 250 degrees,continuous service temperature iec 60216-1 (Â°c),property,250.0,225.0,275.0,degrees,banded (value +/- band)
5154,material that withstands 250 degrees and pom,continuous service temperature iec 60216-1 (Â°c),property,250.0,225.0,275.0,degrees,banded (value +/- band)
5155,capable of withstanding 175 degrees c continuously,continuous service temperature iec 60216-1 (Â°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
5156,material that is capable of withstanding 175 degrees c continuously,continuous service temperature iec 60216-1 (Â°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
5157,grade that is capable of withstanding 175 degrees c continuously,continuous service temperature iec 60216-1 (Â°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
5169,50 melt pa66,melt,property,50.0,45.0,55.0,,banded (value +/- band)
5170,pa66 90 melt,melt,property,90.0,81.0,99.0,,banded (value +/- band)
5171,melt of 200,melt,property,200.0,180.0,220.0,,banded (value +/- band)
5172,melt = 160,melt,property,160.0,144.0,176.0,,banded (value +/- band)
5173,celcon with melt > 90,melt,property,,90.0,,,open lower (>= min)
5174,melt < 300,melt,property,,,300.0,,open upper (<= max)
5175,50-60 shore d with ul94 v2 flame retardance capable of withstanding 175 degrees c continuously and elastomer,shore d hardness iso 48-4 / iso 868 15s,property,,50.0,60.0,,explicit range
5175,50-60 shore d with ul94 v2 flame retardance capable of withstanding 175 degrees c continuously and elastomer,flame rating,ul_sub_property,v-2,,,,exact value only
5175,50-60 shore d with ul94 v2 flame retardance capable of withstanding 175 degrees c continuously and elastomer,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5175,50-60 shore d with ul94 v2 flame retardance capable of withstanding 175 degrees c continuously and elastomer,continuous service temperature iec 60216-1 (Â°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
5176,uv94 v2 flame retardance capable of withstanding 175 degrees c continuously and 50-60 shore d with elastomer,flame rating,ul_sub_property,v-2,,,,exact value only
5176,uv94 v2 flame retardance capable of withstanding 175 degrees c continuously and 50-60 shore d with elastomer,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5176,uv94 v2 flame retardance capable of withstanding 175 degrees c continuously and 50-60 shore d with elastomer,continuous service temperature iec 60216-1 (Â°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
5176,uv94 v2 flame retardance capable of withstanding 175 degrees c continuously and 50-60 shore d with elastomer,shore d hardness iso 48-4 / iso 868 15s,property,,50.0,60.0,,explicit range
5177,"elastomer with ul94 v2 flame retardance and capable of withstanding 175 degrees c continuously, 50-60 shore d",flame rating,ul_sub_property,v-2,,,,exact value only
5177,"elastomer with ul94 v2 flame retardance and capable of withstanding 175 degrees c continuously, 50-60 shore d",minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5177,"elastomer with ul94 v2 flame retardance and capable of withstanding 175 degrees c continuously, 50-60 shore d",continuous service temperature iec 60216-1 (Â°c),property,175.0,157.5,192.5,degrees c,banded (value +/- band)
5177,"elastomer with ul94 v2 flame retardance and capable of withstanding 175 degrees c continuously, 50-60 shore d",shore d hardness iso 48-4 / iso 868 15s,property,,50.0,60.0,,explicit range
5178,fr v2 @ 3.2 and capable of withstanding 275 degrees c continuously,flame rating,ul_sub_property,v-2,,,,exact value only
5178,fr v2 @ 3.2 and capable of withstanding 275 degrees c continuously,minimum thickness (mm),ul_property,3.2,,,mm,exact value only
5178,fr v2 @ 3.2 and capable of withstanding 275 degrees c continuously,continuous service temperature iec 60216-1 (Â°c),property,275.0,247.5,302.5,degrees c,banded (value +/- band)
5179,fr v2 and capable of withstanding 275 degrees c continuously,flame rating,ul_sub_property,v-2,,,,exact value only
5179,fr v2 and capable of withstanding 275 degrees c continuously,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5179,fr v2 and capable of withstanding 275 degrees c continuously,continuous service temperature iec 60216-1 (Â°c),property,275.0,247.5,302.5,degrees c,banded (value +/- band)
5252,impa of 100 kj/mÃ‚Â²,impact strength,property,100.0,90.0,110.0,kj/mÂ²,banded (value +/- band)
5253,impa of min 95 kj/mÃ‚Â²,impact strength,property,,95.0,,kj/mÂ²,open lower (>= min)
5254,impa max 122 kj/mÃ‚Â²,impact strength,property,,,122.0,kj/mÂ²,open upper (<= max)
5255,impa 90- 115 kj/mÃ‚Â²,impact strength,property,,90.0,115.0,kj/mÂ²,explicit range
5256,impa of 100 kj/mÃ‚Â² with 20% range,impact strength,property,100.0,80.0,120.0,kj/mÂ²,banded (value +/- band)
5257,charpy: 112,charpy,property,112.0,100.8,123.20000000000002,,banded (value +/- band)
5258,impact of 119,impact strength,property,119.0,107.10000000000001,130.9,,banded (value +/- band)
5259,126 = notched impact,notched impact,property,126.0,113.4,138.60000000000002,,banded (value +/- band)
5260,121 shore,shore,property,121.0,108.9,133.10000000000002,,banded (value +/- band)
5261,shore hardness 46,shore,property,46.0,41.4,50.6,,banded (value +/- band)
5262,strain at break: 178,strain at break,property,178.0,160.20000000000002,195.8,,banded (value +/- band)
5263,strength of 165,tensile stress,property,165.0,148.5,181.50000000000003,,banded (value +/- band)
5264,stress at 100% elongation of 191,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,191.0,171.9,210.10000000000002,,banded (value +/- band)
5265,stress at break of 86,stress at break,property,86.0,77.4,94.60000000000001,,banded (value +/- band)
5266,temperature: 60,temperature,property,60.0,54.0,66.0,,banded (value +/- band)
5267,tensile = 103,tensile,property,103.0,92.7,113.30000000000001,,banded (value +/- band)
5268,tensile strength of 171,tensile strength,property,171.0,153.9,188.10000000000002,,banded (value +/- band)
5269,114 = tensile stress at 100% elongation,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,114.0,102.60000000000001,125.4,,banded (value +/- band)
5270,tensile stress at break: 191,stress at break,property,191.0,171.9,210.10000000000002,,banded (value +/- band)
5271,12 viscosity,viscosity,property,12.0,10.8,13.200000000000001,,banded (value +/- band)
5272,140 = charpy,charpy,property,140.0,126.0,154.0,,banded (value +/- band)
5273,170 impact,impact strength,property,170.0,153.0,187.00000000000003,,banded (value +/- band)
5274,notched impact = 146,notched impact,property,146.0,131.4,160.60000000000002,,banded (value +/- band)
5275,shore: 187,shore,property,187.0,168.3,205.70000000000002,,banded (value +/- band)
5276,126 = shore hardness,shore,property,126.0,113.4,138.60000000000002,,banded (value +/- band)
5277,102 = strain at break,strain at break,property,102.0,91.8,112.2,,banded (value +/- band)
5278,strength 44,tensile stress,property,44.0,39.6,48.400000000000006,,banded (value +/- band)
5279,stress at 100% elongation 172,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,172.0,154.8,189.20000000000002,,banded (value +/- band)
5280,stress at break = 23,stress at break,property,23.0,20.7,25.3,,banded (value +/- band)
5281,temperature of 59,temperature,property,59.0,53.1,64.9,,banded (value +/- band)
5282,tensile 67,tensile,property,67.0,60.300000000000004,73.7,,banded (value +/- band)
5283,49 tensile strength,tensile strength,property,49.0,44.1,53.900000000000006,,banded (value +/- band)
5284,tensile stress at 100% elongation of 194,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,194.0,174.6,213.4,,banded (value +/- band)
5285,67 tensile stress at break,stress at break,property,67.0,60.300000000000004,73.7,,banded (value +/- band)
5286,viscosity = 85,viscosity,property,85.0,76.5,93.50000000000001,,banded (value +/- band)
5287,charpy: 146,charpy,property,146.0,131.4,160.60000000000002,,banded (value +/- band)
5288,impact: 17,impact strength,property,17.0,15.3,18.700000000000003,,banded (value +/- band)
5289,152 notched impact,notched impact,property,152.0,136.8,167.20000000000002,,banded (value +/- band)
5290,shore = 60,shore,property,60.0,54.0,66.0,,banded (value +/- band)
5291,shore hardness 67,shore,property,67.0,60.300000000000004,73.7,,banded (value +/- band)
5292,strain at break of 35,strain at break,property,35.0,31.5,38.5,,banded (value +/- band)
5293,strength = 142,tensile stress,property,142.0,127.8,156.20000000000002,,banded (value +/- band)
5294,196 = stress at 100% elongation,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,196.0,176.4,215.60000000000002,,banded (value +/- band)
5295,stress at break = 167,stress at break,property,167.0,150.3,183.70000000000002,,banded (value +/- band)
5296,temperature = 86,temperature,property,86.0,77.4,94.60000000000001,,banded (value +/- band)
5297,tensile = 110,tensile,property,110.0,99.0,121.00000000000001,,banded (value +/- band)
5298,tensile strength 36,tensile strength,property,36.0,32.4,39.6,,banded (value +/- band)
5299,29 tensile stress at 100% elongation,tensile stress at 100% elongation iso 37 perpendicular (mpa),property,29.0,26.1,31.900000000000002,,banded (value +/- band)
5300,tensile stress at break: 129,stress at break,property,129.0,116.10000000000001,141.9,,banded (value +/- band)
5301,98 = viscosity,viscosity,property,98.0,88.2,107.80000000000001,,banded (value +/- band)
5302,no break charpy,charpy,property,nb,,,,exact value only
5303,izod nobreak,izod,property,nb,,,,exact value only
5304,impact nobreak,impact strength,property,nb,,,,exact value only
5305,charpy no-break,charpy,property,nb,,,,exact value only
5306,no-break izod,izod,property,nb,,,,exact value only
5307,impact no-break,impact strength,property,nb,,,,exact value only
5308,charpy nb,charpy,property,nb,,,,exact value only
5309,izod (no break),izod,property,nb,,,,exact value only
5310,impact (nb),impact strength,property,nb,,,,exact value only
5311,charpy (nobreak),charpy,property,nb,,,,exact value only
5312,nobreak izod,izod,property,nb,,,,exact value only
5313,(no-break) impact,impact strength,property,nb,,,,exact value only
5314,charpy no break,charpy,property,nb,,,,exact value only
5315,no break izod,izod,property,nb,,,,exact value only
5316,(nobreak) impact,impact strength,property,nb,,,,exact value only
5317,nb charpy,charpy,property,nb,,,,exact value only
5318,no break izod,izod,property,nb,,,,exact value only
5319,impact nobreak,impact strength,property,nb,,,,exact value only
5320,charpy (no break),charpy,property,nb,,,,exact value only
5321,(no-break) izod,izod,property,nb,,,,exact value only
5322,impact nobreak,impact strength,property,nb,,,,exact value only
5323,charpy no break,charpy,property,nb,,,,exact value only
5324,izod (no break),izod,property,nb,,,,exact value only
5325,nb impact,impact strength,property,nb,,,,exact value only
5326,no break charpy,charpy,property,nb,,,,exact value only
5327,(nobreak) izod,izod,property,nb,,,,exact value only
5328,impact nobreak,impact strength,property,nb,,,,exact value only
5329,(no-break) charpy,charpy,property,nb,,,,exact value only
5330,izod (nb),izod,property,nb,,,,exact value only
5331,(no break) impact,impact strength,property,nb,,,,exact value only
5332,(nobreak) charpy,charpy,property,nb,,,,exact value only
5333,izod (no break),izod,property,nb,,,,exact value only
5334,impact no break,impact strength,property,nb,,,,exact value only
5335,charpy nobreak,charpy,property,nb,,,,exact value only
5336,izod no break,izod,property,nb,,,,exact value only
5337,(nb) impact,impact strength,property,nb,,,,exact value only
5338,charpy nobreak,charpy,property,nb,,,,exact value only
5339,izod (no-break),izod,property,nb,,,,exact value only
5340,no break impact,impact strength,property,nb,,,,exact value only
5341,charpy nb,charpy,property,nb,,,,exact value only
5342,nobreak izod,izod,property,nb,,,,exact value only
5343,nb impact,impact strength,property,nb,,,,exact value only
5344,nb charpy,charpy,property,nb,,,,exact value only
5345,(no-break) izod,izod,property,nb,,,,exact value only
5346,(nobreak) impact,impact strength,property,nb,,,,exact value only
5347,no break charpy,charpy,property,nb,,,,exact value only
5348,izod nb,izod,property,nb,,,,exact value only
5349,impact (no-break),impact strength,property,nb,,,,exact value only
5350,charpy (nb),charpy,property,nb,,,,exact value only
5351,izod nb,izod,property,nb,,,,exact value only
5352,no break impact,impact strength,property,nb,,,,exact value only
5353,(no-break) charpy,charpy,property,nb,,,,exact value only
5354,no break izod,izod,property,nb,,,,exact value only
5355,no-break impact,impact strength,property,nb,,,,exact value only
5356,charpy no-break,charpy,property,nb,,,,exact value only
5357,(nb) izod,izod,property,nb,,,,exact value only
5358,nobreak impact,impact strength,property,nb,,,,exact value only
5359,charpy (no-break),charpy,property,nb,,,,exact value only
5360,no-break izod,izod,property,nb,,,,exact value only
5361,nb impact,impact strength,property,nb,,,,exact value only
5362,charpy (no break),charpy,property,nb,,,,exact value only
5363,izod (nb),izod,property,nb,,,,exact value only
5364,impact nb,impact strength,property,nb,,,,exact value only
5365,charpy nb,charpy,property,nb,,,,exact value only
5366,(nb) izod,izod,property,nb,,,,exact value only
5367,impact nobreak,impact strength,property,nb,,,,exact value only
5368,nb charpy,charpy,property,nb,,,,exact value only
5369,izod (nb),izod,property,nb,,,,exact value only
5370,impact no-break,impact strength,property,nb,,,,exact value only
5371,no break charpy,charpy,property,nb,,,,exact value only
5372,izod no-break,izod,property,nb,,,,exact value only
5373,(nb) impact,impact strength,property,nb,,,,exact value only
5374,charpy nobreak,charpy,property,nb,,,,exact value only
5375,izod (nobreak),izod,property,nb,,,,exact value only
5376,impact nobreak,impact strength,property,nb,,,,exact value only
5411,module elastic of 77g33?,tensile modulus,property,,,,,categorical / no number
5412,density of c13021?,density iso 1183 (kg/mÂ³),property,,,,,categorical / no number
5413,nb impact unnotched,impact strength,property,nb,,,,exact value only
5414,no break impact unnotch,impact strength,property,nb,,,,exact value only
5415,nb unnotche impact,impact strength,property,nb,,,,exact value only
5416,no break unnotch impact,impact strength,property,nb,,,,exact value only
5417,unnotched nb impact,impact strength,property,nb,,,,exact value only
5418,unnotch no break impact,impact strength,property,nb,,,,exact value only
5419,nb impact notched,notched impact strength,property,nb,,,,exact value only
5420,no break impact notche,notched impact strength,property,nb,,,,exact value only
5421,nb notch impact,notched impact strength,property,nb,,,,exact value only
5422,no break notched impact,notched impact strength,property,nb,,,,exact value only
5423,notch nb impact,notched impact strength,property,nb,,,,exact value only
5424,notched no break impact,notched impact strength,property,nb,,,,exact value only
5453,pbt lw gf30-v1,flame rating,ul_sub_property,v-1,,,,exact value only
5453,pbt lw gf30-v1,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5454,pps lw gf30-v2,flame rating,ul_sub_property,v-2,,,,exact value only
5454,pps lw gf30-v2,minimum thickness (mm),ul_property,0.4,,,mm,exact value only
5455,rohs m90,rohs 2011/65/eu material,ul_property,,,,,categorical / no number
5456,rohs c13021,rohs 2011/65/eu material,ul_property,,,,,categorical / no number
5503,nb impact unnotched,impact strength,property,nb,,,,exact value only
5504,no break impact unnotch,impact strength,property,nb,,,,exact value only
5505,nb unnotche impact,impact strength,property,nb,,,,exact value only
5506,no break unnotch impact,impact strength,property,nb,,,,exact value only
5507,unnotched nb impact,impact strength,property,nb,,,,exact value only
5508,unnotch no break impact,impact strength,property,nb,,,,exact value only
5509,nb impact notched,notched impact strength,property,nb,,,,exact value only
5510,no break impact notche,notched impact strength,property,nb,,,,exact value only
